Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,28,26,54,0.929
HiC_scaffold_2,23,17,40,0.739
HiC_scaffold_3,16,25,41,1.562
HiC_scaffold_4,13,20,33,1.538
HiC_scaffold_5,18,16,34,0.889
HiC_scaffold_6,29,35,64,1.207
HiC_scaffold_7,19,23,42,1.211
HiC_scaffold_8,26,17,43,0.654
HiC_scaffold_9,30,37,67,1.233
HiC_scaffold_10,13,18,31,1.385
HiC_scaffold_11,15,19,34,1.267
HiC_scaffold_12,14,18,32,1.286
HiC_scaffold_13,3,15,18,5.000
HiC_scaffold_14,27,30,57,1.111
HiC_scaffold_15,25,38,63,1.520
HiC_scaffold_16,30,17,47,0.567
HiC_scaffold_17,21,21,42,1.000
HiC_scaffold_18,47,48,95,1.021
HiC_scaffold_19,42,37,79,0.881
TOTAL,439,477,916,1.087
