Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,123,135,258,1.098
HiC_scaffold_2,117,111,228,0.949
HiC_scaffold_3,167,163,330,0.976
HiC_scaffold_4,120,120,240,1.000
HiC_scaffold_5,133,144,277,1.083
HiC_scaffold_6,123,156,279,1.268
HiC_scaffold_7,127,116,243,0.913
HiC_scaffold_8,133,127,260,0.955
HiC_scaffold_9,181,157,338,0.867
HiC_scaffold_10,98,95,193,0.969
HiC_scaffold_11,131,123,254,0.939
HiC_scaffold_12,117,132,249,1.128
HiC_scaffold_13,110,159,269,1.445
HiC_scaffold_14,170,182,352,1.071
HiC_scaffold_15,212,246,458,1.160
HiC_scaffold_16,221,208,429,0.941
HiC_scaffold_17,165,165,330,1.000
HiC_scaffold_18,274,290,564,1.058
HiC_scaffold_19,246,253,499,1.028
TOTAL,2968,3082,6050,1.038
