Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,98,97,195,0.990
HiC_scaffold_2,55,44,99,0.800
HiC_scaffold_3,50,68,118,1.360
HiC_scaffold_4,67,80,147,1.194
HiC_scaffold_5,77,100,177,1.299
HiC_scaffold_6,61,88,149,1.443
HiC_scaffold_7,76,53,129,0.697
HiC_scaffold_8,66,71,137,1.076
HiC_scaffold_9,59,67,126,1.136
HiC_scaffold_10,72,71,143,0.986
HiC_scaffold_11,62,74,136,1.194
HiC_scaffold_12,93,63,156,0.677
HiC_scaffold_13,132,93,225,0.705
HiC_scaffold_14,74,91,165,1.230
HiC_scaffold_15,63,78,141,1.238
HiC_scaffold_16,87,75,162,0.862
HiC_scaffold_17,91,76,167,0.835
HiC_scaffold_18,109,110,219,1.009
HiC_scaffold_19,72,85,157,1.181
HiC_scaffold_20,53,67,120,1.264
HiC_scaffold_21,57,66,123,1.158
TOTAL,1574,1617,3191,1.027
