species,human_gene,reciprocal_hit_gene,fasta_filename
Branchiostoma_lanceolatum_NCBI,CTCF,CTCF,top_hit_CTCF_Branchiostoma_lanceolatum_NCBI.fa
Branchiostoma_lanceolatum_NCBI,ESCO1,ESCO1,top_hit_ESCO1_Branchiostoma_lanceolatum_NCBI.fa
Branchiostoma_lanceolatum_NCBI,ESCO2,ESCO1,top_hit_ESCO2_Branchiostoma_lanceolatum_NCBI.fa
Branchiostoma_lanceolatum_NCBI,HDAC8,NA,top_hit_HDAC8_Branchiostoma_lanceolatum_NCBI.fa
Branchiostoma_lanceolatum_NCBI,NIPBL,NIPBL,top_hit_NIPBL_Branchiostoma_lanceolatum_NCBI.fa
Branchiostoma_lanceolatum_NCBI,PDS5A,PDS5B,top_hit_PDS5A_Branchiostoma_lanceolatum_NCBI.fa
Branchiostoma_lanceolatum_NCBI,PDS5B,PDS5B,top_hit_PDS5B_Branchiostoma_lanceolatum_NCBI.fa
Branchiostoma_lanceolatum_NCBI,RAD21,RAD21,top_hit_RAD21_Branchiostoma_lanceolatum_NCBI.fa
Branchiostoma_lanceolatum_NCBI,SMC1,SMC1A,top_hit_SMC1_Branchiostoma_lanceolatum_NCBI.fa
Branchiostoma_lanceolatum_NCBI,SMC3,SMC3,top_hit_SMC3_Branchiostoma_lanceolatum_NCBI.fa
Branchiostoma_lanceolatum_NCBI,STAG1,STAG1,top_hit_STAG1_Branchiostoma_lanceolatum_NCBI.fa
Branchiostoma_lanceolatum_NCBI,STAG2,STAG1,top_hit_STAG2_Branchiostoma_lanceolatum_NCBI.fa
Branchiostoma_lanceolatum_NCBI,WAPL,WAPL,top_hit_WAPL_Branchiostoma_lanceolatum_NCBI.fa
