Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
NC_006088.5,526,497,1023,0.945
NC_006089.5,417,378,795,0.906
NC_006090.5,278,279,557,1.004
NC_006091.5,263,273,536,1.038
NC_006092.5,174,186,360,1.069
NC_006093.5,117,108,225,0.923
NC_006094.5,104,95,199,0.913
NC_006095.5,98,105,203,1.071
NC_006096.5,87,107,194,1.230
NC_006097.5,98,81,179,0.827
NC_006098.5,69,73,142,1.058
NC_006099.5,79,87,166,1.101
NC_006100.5,74,64,138,0.865
NC_006101.5,80,103,183,1.288
NC_006102.5,64,83,147,1.297
NC_006103.5,29,73,102,2.517
NC_006104.5,60,44,104,0.733
NC_006105.5,67,57,124,0.851
NC_006106.5,42,55,97,1.310
NC_006107.5,60,52,112,0.867
NC_006108.5,36,39,75,1.083
NC_006109.5,33,28,61,0.848
NC_006110.5,43,44,87,1.023
NC_006111.5,40,34,74,0.850
NC_006112.4,36,35,71,0.972
NC_006113.5,48,41,89,0.854
NC_006114.5,43,75,118,1.744
NC_006115.5,45,42,87,0.933
NC_006119.4,7,7,14,1.000
NC_006126.5,29,29,58,1.000
NC_006127.5,306,318,624,1.039
NC_008465.4,69,82,151,1.188
NC_028739.2,34,45,79,1.324
NC_028740.2,26,30,56,1.154
TOTAL,3581,3649,7230,1.019
