col_index,pct_conserved,nongap_n
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,100.0,1
28,100.0,1
29,100.0,1
30,100.0,1
31,100.0,1
32,100.0,1
33,100.0,1
34,100.0,1
35,100.0,1
36,50.0,2
37,50.0,2
38,50.0,2
39,60.0,5
40,60.0,5
41,60.0,5
42,60.0,5
43,60.0,5
44,60.0,5
45,40.0,5
46,60.0,5
47,60.0,5
48,60.0,5
49,60.0,5
50,60.0,5
51,60.0,5
52,60.0,5
53,60.0,5
54,60.0,5
55,60.0,5
56,60.0,5
57,60.0,5
58,60.0,5
59,60.0,5
60,60.0,5
61,60.0,5
62,60.0,5
63,60.0,5
64,80.0,5
65,60.0,5
66,60.0,5
67,40.0,5
68,60.0,5
69,60.0,5
70,60.0,5
71,60.0,5
72,60.0,5
73,60.0,5
74,60.0,5
75,60.0,5
76,40.0,5
77,60.0,5
78,60.0,5
79,60.0,5
80,60.0,5
81,40.0,5
82,80.0,5
83,60.0,5
84,60.0,5
85,60.0,5
86,60.0,5
87,60.0,5
88,60.0,5
89,60.0,5
90,60.0,5
91,60.0,5
92,60.0,5
93,40.0,5
94,60.0,5
95,60.0,5
96,60.0,5
97,60.0,5
98,60.0,5
99,60.0,5
100,50.0,6
101,66.66666666666667,6
102,50.0,6
103,66.66666666666667,6
104,66.66666666666667,6
105,50.0,6
106,50.0,6
107,50.0,6
108,37.5,8
109,50.0,8
110,37.5,8
111,44.44444444444444,9
112,55.55555555555556,9
113,33.333333333333336,9
114,76.47058823529412,17
115,76.47058823529412,17
116,82.3529411764706,17
117,52.94117647058823,17
118,47.05882352941177,17
119,76.47058823529412,17
120,75.0,4
121,75.0,4
122,75.0,4
123,100.0,4
124,50.0,4
125,75.0,4
126,75.0,4
127,75.0,4
128,75.0,4
129,75.0,4
130,75.0,4
131,75.0,4
132,75.0,4
133,100.0,4
134,75.0,4
135,75.0,4
136,75.0,4
137,75.0,4
138,100.0,4
139,75.0,4
140,75.0,4
141,75.0,4
142,75.0,4
