Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
chr2L,144,172,316,1.194
chr2R,180,170,350,0.944
chr3L,173,170,343,0.983
chr3R,198,195,393,0.985
chr4,6,7,13,1.167
chrX_CP007103v1_random,0,3,3,inf
chrUn_CP007105v1,1,0,1,0.000
chrY_CP007111v1_random,0,2,2,inf
chrY_CP007115v1_random,0,1,1,inf
chrUn_DS483562v1,0,1,1,inf
chrX_DS483648v1_random,0,1,1,inf
chrX_DS483660v1_random,0,1,1,inf
chrX_DS483669v1_random,0,1,1,inf
chrUn_DS483703v1,1,0,1,0.000
chrUn_DS483738v1,0,1,1,inf
chrX_DS483745v1_random,1,0,1,0.000
chrUn_DS483753v1,1,0,1,0.000
chrX_DS483789v1_random,0,1,1,inf
chrX_DS483795v1_random,0,1,1,inf
chrUn_DS483800v1,0,1,1,inf
chrX_DS483809v1_random,1,0,1,0.000
chrX_DS483843v1_random,1,0,1,0.000
chrX_DS483851v1_random,0,1,1,inf
chrUn_DS483877v1,1,0,1,0.000
chrX_DS483885v1_random,0,1,1,inf
chrX_DS483888v1_random,1,0,1,0.000
chrX_DS483892v1_random,0,1,1,inf
chrX_DS483897v1_random,0,1,1,inf
chrX_DS483905v1_random,0,1,1,inf
chrX_DS483923v1_random,1,0,1,0.000
chrX_DS483946v1_random,1,0,1,0.000
chrX_DS483963v1_random,1,0,1,0.000
chrX_DS483971v1_random,0,1,1,inf
chrX_DS483974v1_random,1,0,1,0.000
chrX_DS483995v1_random,1,0,1,0.000
chrX_DS484002v1_random,0,1,1,inf
chrX_DS484060v1_random,0,1,1,inf
chrX_DS484085v1_random,1,0,1,0.000
chrX_DS484099v1_random,1,0,1,0.000
chrX_DS484124v1_random,0,1,1,inf
chrX_DS484125v1_random,0,1,1,inf
chrX_DS484140v1_random,0,1,1,inf
chrX_DS484143v1_random,0,1,1,inf
chrX_DS484268v1_random,1,0,1,0.000
chrUn_DS484309v1,0,1,1,inf
chrUn_DS484311v1,0,1,1,inf
chrUn_DS484331v1,1,0,1,0.000
chrX_DS484361v1_random,0,1,1,inf
chrX_DS484417v1_random,1,0,1,0.000
chrUn_DS484632v1,1,0,1,0.000
chrX_DS484702v1_random,0,1,1,inf
chrX_DS484737v1_random,0,1,1,inf
chrX_DS484963v1_random,0,1,1,inf
chrX_DS484997v1_random,1,0,1,0.000
chrX_DS485017v1_random,0,1,1,inf
chrY_DS485070v1_random,1,0,1,0.000
chrX_DS485201v1_random,1,0,1,0.000
chrX_DS485299v1_random,0,1,1,inf
chrX_DS485360v1_random,0,1,1,inf
chrUn_DS485517v1,1,0,1,0.000
chrX_DS485562v1_random,0,1,1,inf
chrX_DS485879v1_random,0,1,1,inf
chrX,225,246,471,1.093
chrY,2,6,8,3.000
TOTAL,951,1003,1954,1.055
