chrom	start	end	region	is_bad_bin	log2_insulation_score_25000	n_valid_pixels_25000	boundary_strength_25000	is_boundary_25000	is_bad_bin_50000	log2_insulation_score_50000	n_valid_pixels_50000	boundary_strength_50000	is_boundary_50000	is_bad_bin_100000	log2_insulation_score_100000	n_valid_pixels_100000	boundary_strength_100000	is_boundary_100000	boundary_window	midpoint	ctcf_window_bp	ctcf_count
chr2L	72000	74000	chr2L	False	0.7043883072890237	84.0	0.9219839795549524	True	False	0.9296834307388142	172.0	0.7865996656932857	True	False	1.0785963703750374	320.0	0.725950474762719	True	25000	73000	10000	0
chr2L	94000	96000	chr2L	False	0.94578290252187	144.0	0.48734530490094174	True	False	0.7906591804885111	443.0	0.1800232833607487	True	False	0.998889171471335	795.0	0.1530724348022754	True	25000	95000	10000	0
chr2L	102000	104000	chr2L	False	1.0426070434868755	144.0	0.27806494037651985	True	False	0.7068931374018553	542.0		False	False	0.9124581454051819	957.0		False	25000	103000	10000	0
chr2L	122000	124000	chr2L	False	0.9889645466931567	144.0	0.13025861993605492	True	False	0.547333879841936	612.0		False	False	0.5353424468463157	1351.0		False	25000	123000	10000	1
chr2L	132000	134000	chr2L	False	0.7686408022825452	144.0	0.25043860014780794	True	False	0.32881282991237637	594.0	0.15959214819252432	True	False	0.2564116728296131	1540.0		False	25000	133000	10000	0
chr2L	144000	146000	chr2L	False	0.6605006632880237	144.0	0.3752085423125191	True	False	0.19909221044159225	582.0	0.2750929410956167	True	False	0.04017941256951801	1750.0	0.159297529188129	True	25000	145000	10000	0
chr2L	156000	158000	chr2L	False	-0.07192304932786098	144.0	2.0148234433166095	True	False	-0.16551824534439868	583.0	2.125440143006676	True	False	-0.22788628599162097	1991.0	1.5550733566917403	True	25000	157000	10000	0
chr2L	184000	186000	chr2L	False	0.738667341771141	144.0	0.8580574110835678	True	False	0.5108344212180047	618.0	0.5490150401198939	True	False	0.22874521508258552	2160.0	0.3221451421320416	True	25000	185000	10000	0
chr2L	208000	210000	chr2L	False	0.9920664507926332	144.0	0.31820500884464475	True	False	0.8747241185556105	622.0		False	False	0.48088007133529653	2201.0		False	25000	209000	10000	0
chr2L	252000	254000	chr2L	False	0.19466997372672837	144.0	0.7713691202458781	True	False	0.22177426216432336	617.0	0.2865155775736553	True	False	0.03597524855571566	1962.0	0.25481540216531995	True	25000	253000	10000	0
chr2L	272000	274000	chr2L	False	0.587320727509656	144.0	0.364847204424805	True	False	0.21882156218984308	590.0	0.24851449183680027	True	False	0.12811467259641057	1782.0	0.1238170443633052	True	25000	273000	10000	0
