Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
chr1L,3870,3773,7643,0.975
chr1S,3476,3654,7130,1.051
chr2S,3130,3124,6254,0.998
chr2L,3266,3234,6500,0.990
chr3S,2638,2408,5046,0.913
chr3L,2403,2504,4907,1.042
chr4S,2401,2380,4781,0.991
chr4L,2712,2651,5363,0.978
chr5S,2782,2753,5535,0.990
chr5L,2544,2676,5220,1.052
chr6L,2770,2746,5516,0.991
chr6S,2917,2909,5826,0.997
chr7L,2388,2480,4868,1.039
chr7S,1826,1916,3742,1.049
chr8L,1987,2036,4023,1.025
chr8S,2148,2192,4340,1.020
chr9_10L,2085,2127,4212,1.020
chr9_10S,2071,2184,4255,1.055
TOTAL,47414,47747,95161,1.007
