chrom	start	end	region	is_bad_bin	log2_insulation_score_25000	n_valid_pixels_25000	boundary_strength_25000	is_boundary_25000	is_bad_bin_50000	log2_insulation_score_50000	n_valid_pixels_50000	boundary_strength_50000	is_boundary_50000	is_bad_bin_100000	log2_insulation_score_100000	n_valid_pixels_100000	boundary_strength_100000	is_boundary_100000
chr2L	0	2000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	2000	4000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	4000	6000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	6000	8000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	8000	10000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	10000	12000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	12000	14000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	14000	16000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	16000	18000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	18000	20000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	20000	22000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	22000	24000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	24000	26000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	26000	28000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	28000	30000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	30000	32000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	32000	34000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	34000	36000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	36000	38000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	38000	40000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	40000	42000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	42000	44000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	44000	46000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	46000	48000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	48000	50000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	50000	52000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	52000	54000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	54000	56000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	56000	58000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	58000	60000	chr2L	True		0.0		False	True		0.0		False	True		0.0		False
chr2L	60000	62000	chr2L	False	1.9409755170642564	12.0		False	False	1.9870604287969744	24.0		False	False	2.0604033594573457	43.0		False
chr2L	62000	64000	chr2L	False	1.9429003939887486	24.0		False	False	2.0397193780695377	48.0		False	False	2.030757770633559	92.0		False
chr2L	64000	66000	chr2L	False	1.6153508807527241	36.0		False	False	1.7264777763715797	73.0		False	False	1.7505206246032354	139.0		False
chr2L	66000	68000	chr2L	False	1.3169661122112863	48.0		False	False	1.4288825431015362	98.0		False	False	1.5002479475201849	183.0		False
chr2L	68000	70000	chr2L	False	1.28332973336005	60.0		False	False	1.4048209065253532	122.0		False	False	1.4847571621727218	230.0		False
chr2L	70000	72000	chr2L	False	1.15868251720437	72.0		False	False	1.3008882221251419	147.0		False	False	1.4001755482904	275.0		False
chr2L	72000	74000	chr2L	False	0.7043883072890237	84.0	0.9219839795549524	True	False	0.9296834307388142	172.0	0.7865996656932857	True	False	1.0785963703750374	320.0	0.725950474762719	True
chr2L	74000	76000	chr2L	False	0.8163198974236056	96.0		False	False	1.0765444557043877	197.0		False	False	1.249098545627694	365.0		False
chr2L	76000	78000	chr2L	False	1.274457000510595	108.0		False	False	1.455176082651604	222.0		False	False	1.5769851597908728	413.0		False
chr2L	78000	80000	chr2L	False	1.5123914859474648	120.0		False	False	1.6538825954740912	246.0		False	False	1.7466100618368112	459.0		False
chr2L	80000	82000	chr2L	False	1.5857909665481376	132.0		False	False	1.7162830964320999	271.0		False	False	1.8045468451377564	504.0		False
chr2L	82000	84000	chr2L	False	1.5858842911081898	144.0		False	False	1.703677048137766	296.0		False	False	1.7966217654185859	550.0		False
chr2L	84000	86000	chr2L	False	1.626372286843976	144.0		False	False	1.6482742893136602	320.0		False	False	1.746136809087536	592.0		False
chr2L	86000	88000	chr2L	False	1.5708184596119772	144.0		False	False	1.525606485531402	345.0		False	False	1.644655132688981	634.0		False
chr2L	88000	90000	chr2L	False	1.5139029528650645	144.0		False	False	1.4158543099327863	369.0		False	False	1.5406510845126618	678.0		False
chr2L	90000	92000	chr2L	False	1.4313011436473375	144.0		False	False	1.2747567350556686	394.0		False	False	1.423175567744786	715.0		False
chr2L	92000	94000	chr2L	False	1.273267569280602	144.0		False	False	1.0851404406970253	419.0		False	False	1.2566221202795602	756.0		False
chr2L	94000	96000	chr2L	False	0.94578290252187	144.0	0.48734530490094174	True	False	0.7906591804885111	443.0	0.1800232833607487	True	False	0.998889171471335	795.0	0.1530724348022754	True
chr2L	96000	98000	chr2L	False	1.136987446105051	144.0		False	False	0.8725760508910614	468.0		False	False	1.067229208664567	838.0		False
chr2L	98000	100000	chr2L	False	1.3206719838633953	144.0		False	False	0.9706824638492598	493.0		False	False	1.1519616062736104	878.0		False
chr2L	100000	102000	chr2L	False	1.2917622888001548	144.0		False	False	0.9108904947053654	518.0		False	False	1.0958409462349445	920.0		False
chr2L	102000	104000	chr2L	False	1.0426070434868755	144.0	0.27806494037651985	True	False	0.7068931374018553	542.0		False	False	0.9124581454051819	957.0		False
chr2L	104000	106000	chr2L	False	1.175970367925687	144.0		False	False	0.7521503116801627	566.0		False	False	0.9471836106853506	996.0		False
chr2L	106000	108000	chr2L	False	1.2316198719221108	144.0		False	False	0.7423835182468559	590.0		False	False	0.9374081097089655	1036.0		False
chr2L	108000	110000	chr2L	False	1.1729667432106177	144.0		False	False	0.667174834928808	614.0	0.18656587255073642	True	False	0.8637956822522441	1078.0		False
chr2L	110000	112000	chr2L	False	1.3147380113191691	144.0		False	False	0.7743045401019137	617.0		False	False	0.9236579483033776	1117.0		False
chr2L	112000	114000	chr2L	False	1.4331282074228118	144.0		False	False	0.8537407074795444	618.0		False	False	0.9591775669776899	1154.0		False
chr2L	114000	116000	chr2L	False	1.3528796034445636	144.0		False	False	0.8073718760934105	614.0		False	False	0.8742700759992548	1196.0		False
chr2L	116000	118000	chr2L	False	1.3378412876343633	144.0		False	False	0.7913461692055841	615.0		False	False	0.826516832555406	1234.0		False
chr2L	118000	120000	chr2L	False	1.293271910536318	144.0		False	False	0.7600217933717012	612.0		False	False	0.7666097773692149	1272.0		False
chr2L	120000	122000	chr2L	False	1.040211534358846	144.0		False	False	0.5924150366052938	611.0		False	False	0.5972155301136196	1309.0		False
chr2L	122000	124000	chr2L	False	0.9889645466931567	144.0	0.13025861993605492	True	False	0.547333879841936	612.0		False	False	0.5353424468463157	1351.0		False
chr2L	124000	126000	chr2L	False	1.08069534184651	144.0		False	False	0.5805007152944894	607.0		False	False	0.5469939627157139	1388.0		False
chr2L	126000	128000	chr2L	False	1.1192231666292116	144.0		False	False	0.5979183466664518	604.0		False	False	0.5352747778622315	1427.0		False
chr2L	128000	130000	chr2L	False	1.0911475955494634	144.0		False	False	0.5601240086739997	603.0		False	False	0.48021019428363976	1464.0		False
chr2L	130000	132000	chr2L	False	0.901598740965557	144.0		False	False	0.4264332164793028	599.0		False	False	0.35374071086783143	1501.0		False
chr2L	132000	134000	chr2L	False	0.7686408022825452	144.0	0.25043860014780794	True	False	0.32881282991237637	594.0	0.15959214819252432	True	False	0.2564116728296131	1540.0		False
chr2L	134000	136000	chr2L	False	0.9390480684931422	144.0		False	False	0.4442369602318908	592.0		False	False	0.3129082805964848	1573.0		False
chr2L	136000	138000	chr2L	False	1.019079402430353	144.0		False	False	0.4884049781049007	586.0		False	False	0.3210889679914871	1610.0		False
chr2L	138000	140000	chr2L	False	0.9830524914496449	144.0		False	False	0.4501115442741487	582.0		False	False	0.27049723531350656	1645.0		False
chr2L	140000	142000	chr2L	False	0.9534415537703347	144.0		False	False	0.4224662425033411	582.0		False	False	0.22998415814363504	1682.0		False
chr2L	142000	144000	chr2L	False	0.7711708956996886	144.0		False	False	0.28923070556049896	581.0		False	False	0.1160186086786844	1716.0		False
chr2L	144000	146000	chr2L	False	0.6605006632880237	144.0	0.3752085423125191	True	False	0.19909221044159225	582.0	0.2750929410956167	True	False	0.04017941256951801	1750.0	0.159297529188129	True
