Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
BK006934.2,35,44,79,1.257
BK006935.2,22,15,37,0.682
BK006936.2,59,72,131,1.220
BK006937.2,17,19,36,1.118
BK006938.2,97,109,206,1.124
BK006939.2,49,30,79,0.612
BK006940.2,23,19,42,0.826
BK006941.2,86,75,161,0.872
BK006942.2,30,32,62,1.067
BK006943.2,55,52,107,0.945
BK006944.2,38,42,80,1.105
BK006945.2,72,100,172,1.389
BK006946.2,53,64,117,1.208
BK006947.3,43,59,102,1.372
BK006948.2,76,87,163,1.145
BK006949.2,64,57,121,0.891
TOTAL,819,876,1695,1.070
