Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,151,130,281,0.861
HiC_scaffold_2,258,229,487,0.888
HiC_scaffold_3,170,125,295,0.735
HiC_scaffold_4,177,164,341,0.927
HiC_scaffold_5,101,106,207,1.050
HiC_scaffold_6,118,124,242,1.051
HiC_scaffold_7,141,118,259,0.837
HiC_scaffold_8,96,125,221,1.302
HiC_scaffold_9,80,60,140,0.750
HiC_scaffold_10,20,21,41,1.050
HiC_scaffold_11,99,112,211,1.131
HiC_scaffold_12,154,178,332,1.156
HiC_scaffold_13,148,168,316,1.135
HiC_scaffold_14,228,209,437,0.917
HiC_scaffold_15,208,201,409,0.966
HiC_scaffold_16,82,101,183,1.232
HiC_scaffold_17,279,314,593,1.125
TOTAL,2510,2485,4995,0.990
