Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
chr1,1016,990,2006,0.974
chr2,808,753,1561,0.932
chr3,599,588,1187,0.982
chr4,502,450,952,0.896
chr5,516,498,1014,0.965
chr6,504,512,1016,1.016
chr7,569,595,1164,1.046
chr8,450,486,936,1.080
chr9,484,450,934,0.930
chr10,502,469,971,0.934
chr11,576,583,1159,1.012
chr12,503,510,1013,1.014
chr13,232,227,459,0.978
chr14,351,486,837,1.385
chr15,361,397,758,1.100
chr16,437,428,865,0.979
chr17,511,506,1017,0.990
chr18,223,221,444,0.991
chr19,517,472,989,0.913
chr20,323,306,629,0.947
chr21,153,132,285,0.863
chr22,294,257,551,0.874
chrX,427,386,813,0.904
chrY,58,53,111,0.914
TOTAL,10916,10755,21671,0.985
