Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
chr1L,25691,25684,51375,1.000
chr1S,20912,20971,41883,1.003
chr2S,19315,19279,38594,0.998
chr2L,21277,21440,42717,1.008
chr3S,14657,14388,29045,0.982
chr3L,17192,17100,34292,0.995
chr4S,15578,15087,30665,0.968
chr4L,18282,17913,36195,0.980
chr5S,16403,16463,32866,1.004
chr5L,18749,18686,37435,0.997
chr6L,18210,18334,36544,1.007
chr6S,15753,15548,31301,0.987
chr7L,15949,15945,31894,1.000
chr7S,11669,11319,22988,0.970
chr8L,14898,14976,29874,1.005
chr8S,13106,13078,26184,0.998
chr9_10L,16016,16104,32120,1.005
chr9_10S,14632,14571,29203,0.996
TOTAL,308289,306886,615175,0.995
