species,human_gene,reciprocal_hit_gene,fasta_filename
Schizosaccharomyces_pombe,CTCF,GTF3A,top_hit_CTCF_Schizosaccharomyces_pombe.fa
Schizosaccharomyces_pombe,ESCO1,POLH,top_hit_ESCO1_Schizosaccharomyces_pombe.fa
Schizosaccharomyces_pombe,ESCO2,POLH,top_hit_ESCO2_Schizosaccharomyces_pombe.fa
Schizosaccharomyces_pombe,HDAC8,HDAC1,top_hit_HDAC8_Schizosaccharomyces_pombe.fa
Schizosaccharomyces_pombe,NIPBL,NIPBL,top_hit_NIPBL_Schizosaccharomyces_pombe.fa
Schizosaccharomyces_pombe,PDS5A,PDS5B,top_hit_PDS5A_Schizosaccharomyces_pombe.fa
Schizosaccharomyces_pombe,PDS5B,PDS5B,top_hit_PDS5B_Schizosaccharomyces_pombe.fa
Schizosaccharomyces_pombe,RAD21,RAD21,top_hit_RAD21_Schizosaccharomyces_pombe.fa
Schizosaccharomyces_pombe,SMC1,SMC1A,top_hit_SMC1_Schizosaccharomyces_pombe.fa
Schizosaccharomyces_pombe,SMC3,SMC3,top_hit_SMC3_Schizosaccharomyces_pombe.fa
Schizosaccharomyces_pombe,STAG1,STAG3,top_hit_STAG1_Schizosaccharomyces_pombe.fa
Schizosaccharomyces_pombe,STAG2,STAG3,top_hit_STAG2_Schizosaccharomyces_pombe.fa
Schizosaccharomyces_pombe,WAPL,NA,top_hit_WAPL_Schizosaccharomyces_pombe.fa
