species,human_gene,reciprocal_hit_gene,fasta_filename
Ciona_intestinalis_NCBI,CTCF,CTCF,top_hit_CTCF_Ciona_intestinalis_NCBI.fa
Ciona_intestinalis_NCBI,ESCO1,ESCO2,top_hit_ESCO1_Ciona_intestinalis_NCBI.fa
Ciona_intestinalis_NCBI,ESCO2,ESCO2,top_hit_ESCO2_Ciona_intestinalis_NCBI.fa
Ciona_intestinalis_NCBI,HDAC8,HDAC8,top_hit_HDAC8_Ciona_intestinalis_NCBI.fa
Ciona_intestinalis_NCBI,NIPBL,NIPBL,top_hit_NIPBL_Ciona_intestinalis_NCBI.fa
Ciona_intestinalis_NCBI,PDS5A,PDS5B,top_hit_PDS5A_Ciona_intestinalis_NCBI.fa
Ciona_intestinalis_NCBI,PDS5B,PDS5B,top_hit_PDS5B_Ciona_intestinalis_NCBI.fa
Ciona_intestinalis_NCBI,RAD21,RAD21,top_hit_RAD21_Ciona_intestinalis_NCBI.fa
Ciona_intestinalis_NCBI,SMC1,SMC1A,top_hit_SMC1_Ciona_intestinalis_NCBI.fa
Ciona_intestinalis_NCBI,SMC3,SMC3,top_hit_SMC3_Ciona_intestinalis_NCBI.fa
Ciona_intestinalis_NCBI,STAG1,STAG2,top_hit_STAG1_Ciona_intestinalis_NCBI.fa
Ciona_intestinalis_NCBI,STAG2,STAG2,top_hit_STAG2_Ciona_intestinalis_NCBI.fa
Ciona_intestinalis_NCBI,WAPL,WAPL,top_hit_WAPL_Ciona_intestinalis_NCBI.fa
