Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,3247,3194,6441,0.984
HiC_scaffold_2,1885,1859,3744,0.986
HiC_scaffold_3,2053,2010,4063,0.979
HiC_scaffold_4,2169,2123,4292,0.979
HiC_scaffold_5,2358,2359,4717,1.000
HiC_scaffold_6,2565,2786,5351,1.086
HiC_scaffold_7,2328,2350,4678,1.009
HiC_scaffold_8,2296,2371,4667,1.033
HiC_scaffold_9,1950,1967,3917,1.009
HiC_scaffold_10,2137,2077,4214,0.972
HiC_scaffold_11,2340,2182,4522,0.932
HiC_scaffold_12,2616,2776,5392,1.061
HiC_scaffold_13,2957,2677,5634,0.905
HiC_scaffold_14,2737,2802,5539,1.024
HiC_scaffold_15,2535,2589,5124,1.021
HiC_scaffold_16,2285,2404,4689,1.052
HiC_scaffold_17,2806,2713,5519,0.967
HiC_scaffold_18,4041,4040,8081,1.000
HiC_scaffold_19,2719,2854,5573,1.050
HiC_scaffold_20,2359,2403,4762,1.019
HiC_scaffold_21,2391,2384,4775,0.997
TOTAL,52774,52920,105694,1.003
