species,human_gene,reciprocal_hit_gene,fasta_filename
Branchiostoma_lanceolatum,CTCF,CTCF,top_hit_CTCF_Branchiostoma_lanceolatum.fa
Branchiostoma_lanceolatum,ESCO1,ESCO1,top_hit_ESCO1_Branchiostoma_lanceolatum.fa
Branchiostoma_lanceolatum,ESCO2,ESCO1,top_hit_ESCO2_Branchiostoma_lanceolatum.fa
Branchiostoma_lanceolatum,HDAC8,HDAC8,top_hit_HDAC8_Branchiostoma_lanceolatum.fa
Branchiostoma_lanceolatum,NIPBL,NIPBL,top_hit_NIPBL_Branchiostoma_lanceolatum.fa
Branchiostoma_lanceolatum,PDS5A,PDS5B,top_hit_PDS5A_Branchiostoma_lanceolatum.fa
Branchiostoma_lanceolatum,PDS5B,PDS5B,top_hit_PDS5B_Branchiostoma_lanceolatum.fa
Branchiostoma_lanceolatum,RAD21,RAD21,top_hit_RAD21_Branchiostoma_lanceolatum.fa
Branchiostoma_lanceolatum,SMC1,SMC1A,top_hit_SMC1_Branchiostoma_lanceolatum.fa
Branchiostoma_lanceolatum,SMC3,SMC3,top_hit_SMC3_Branchiostoma_lanceolatum.fa
Branchiostoma_lanceolatum,STAG1,STAG1,top_hit_STAG1_Branchiostoma_lanceolatum.fa
Branchiostoma_lanceolatum,STAG2,STAG1,top_hit_STAG2_Branchiostoma_lanceolatum.fa
Branchiostoma_lanceolatum,WAPL,WAPL,top_hit_WAPL_Branchiostoma_lanceolatum.fa
