Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
chr1,37446,38613,76059,1.031
chr2,33787,33816,67603,1.001
chr3,25581,25580,51161,1.000
chr4,20974,20898,41872,0.996
chr5,22632,23820,46452,1.052
chr6,21799,22025,43824,1.010
chr7,23683,23399,47082,0.988
chr8,20276,20212,40488,0.997
chr9,19147,19401,38548,1.013
chr10,21447,21390,42837,0.997
chr11,22549,21859,44408,0.969
chr12,19100,19043,38143,0.997
chr13,11203,11198,22401,1.000
chr14,13615,13862,27477,1.018
chr15,14370,15040,29410,1.047
chr16,17200,17090,34290,0.994
chr17,18160,18524,36684,1.020
chr18,9870,12387,22257,1.255
chr19,15288,16695,31983,1.092
chr20,12626,14797,27423,1.172
chr21,6405,6355,12760,0.992
chr22,10337,10248,20585,0.991
chrX,19470,18033,37503,0.926
chrY,3455,3363,6818,0.973
chrM,0,1,1,inf
TOTAL,440420,447649,888069,1.016
