species,human_gene,reciprocal_hit_gene,fasta_filename
Xenopus_laevis,CTCF,CTCF,top_hit_CTCF_Xenopus_laevis.fa
Xenopus_laevis,ESCO1,ESCO1,top_hit_ESCO1_Xenopus_laevis.fa
Xenopus_laevis,ESCO2,ESCO2,top_hit_ESCO2_Xenopus_laevis.fa
Xenopus_laevis,HDAC8,HDAC8,top_hit_HDAC8_Xenopus_laevis.fa
Xenopus_laevis,NIPBL,NIPBL,top_hit_NIPBL_Xenopus_laevis.fa
Xenopus_laevis,PDS5A,PDS5B,top_hit_PDS5A_Xenopus_laevis.fa
Xenopus_laevis,PDS5B,PDS5B,top_hit_PDS5B_Xenopus_laevis.fa
Xenopus_laevis,RAD21,RAD21,top_hit_RAD21_Xenopus_laevis.fa
Xenopus_laevis,SMC1,SMC1A,top_hit_SMC1_Xenopus_laevis.fa
Xenopus_laevis,SMC3,SMC3,top_hit_SMC3_Xenopus_laevis.fa
Xenopus_laevis,STAG1,STAG1,top_hit_STAG1_Xenopus_laevis.fa
Xenopus_laevis,STAG2,STAG2,top_hit_STAG2_Xenopus_laevis.fa
Xenopus_laevis,WAPL,WAPL,top_hit_WAPL_Xenopus_laevis.fa
