chrom	start	end	midpoint	window_bp	ctcf_count
chr2L	72000	74000	73000	10000	0
chr2L	94000	96000	95000	10000	0
chr2L	144000	146000	145000	10000	0
chr2L	156000	158000	157000	10000	0
chr2L	184000	186000	185000	10000	0
chr2L	252000	254000	253000	10000	0
chr2L	272000	274000	273000	10000	0
chr2L	298000	300000	299000	10000	0
chr2L	306000	308000	307000	10000	0
chr2L	404000	406000	405000	10000	2
chr2L	420000	422000	421000	10000	1
chr2L	472000	474000	473000	10000	0
chr2L	490000	492000	491000	10000	1
chr2L	542000	544000	543000	10000	1
chr2L	554000	556000	555000	10000	1
chr2L	574000	576000	575000	10000	0
chr2L	810000	812000	811000	10000	0
chr2L	856000	858000	857000	10000	0
chr2L	870000	872000	871000	10000	1
chr2L	1048000	1050000	1049000	10000	0
chr2L	1078000	1080000	1079000	10000	0
chr2L	1110000	1112000	1111000	10000	0
chr2L	1164000	1166000	1165000	10000	0
chr2L	1184000	1186000	1185000	10000	1
chr2L	1362000	1364000	1363000	10000	1
chr2L	1492000	1494000	1493000	10000	1
chr2L	1614000	1616000	1615000	10000	0
chr2L	1704000	1706000	1705000	10000	0
chr2L	1716000	1718000	1717000	10000	0
chr2L	1732000	1734000	1733000	10000	0
chr2L	1752000	1754000	1753000	10000	1
chr2L	1884000	1886000	1885000	10000	0
chr2L	1938000	1940000	1939000	10000	0
chr2L	1974000	1976000	1975000	10000	0
chr2L	1988000	1990000	1989000	10000	1
chr2L	2038000	2040000	2039000	10000	0
chr2L	2130000	2132000	2131000	10000	0
chr2L	2152000	2154000	2153000	10000	0
chr2L	2192000	2194000	2193000	10000	0
chr2L	2238000	2240000	2239000	10000	0
chr2L	2356000	2358000	2357000	10000	1
chr2L	2382000	2384000	2383000	10000	1
chr2L	2492000	2494000	2493000	10000	0
chr2L	2562000	2564000	2563000	10000	0
chr2L	2586000	2588000	2587000	10000	0
chr2L	2724000	2726000	2725000	10000	0
chr2L	2740000	2742000	2741000	10000	0
chr2L	2770000	2772000	2771000	10000	0
chr2L	2810000	2812000	2811000	10000	1
chr2L	2856000	2858000	2857000	10000	1
chr2L	2884000	2886000	2885000	10000	0
chr2L	2968000	2970000	2969000	10000	0
chr2L	3040000	3042000	3041000	10000	1
chr2L	3060000	3062000	3061000	10000	0
chr2L	3110000	3112000	3111000	10000	0
chr2L	3146000	3148000	3147000	10000	0
chr2L	3162000	3164000	3163000	10000	0
chr2L	3304000	3306000	3305000	10000	0
chr2L	3358000	3360000	3359000	10000	0
chr2L	3374000	3376000	3375000	10000	1
chr2L	3450000	3452000	3451000	10000	1
chr2L	3470000	3472000	3471000	10000	1
chr2L	3530000	3532000	3531000	10000	2
chr2L	3618000	3620000	3619000	10000	2
chr2L	3658000	3660000	3659000	10000	0
chr2L	3804000	3806000	3805000	10000	0
chr2L	3874000	3876000	3875000	10000	1
chr2L	4034000	4036000	4035000	10000	0
chr2L	4180000	4182000	4181000	10000	0
chr2L	4198000	4200000	4199000	10000	1
chr2L	4332000	4334000	4333000	10000	0
chr2L	4346000	4348000	4347000	10000	1
chr2L	4372000	4374000	4373000	10000	0
chr2L	4400000	4402000	4401000	10000	1
chr2L	4442000	4444000	4443000	10000	0
chr2L	4464000	4466000	4465000	10000	0
chr2L	4794000	4796000	4795000	10000	1
chr2L	4812000	4814000	4813000	10000	0
chr2L	4886000	4888000	4887000	10000	1
chr2L	4966000	4968000	4967000	10000	0
chr2L	4998000	5000000	4999000	10000	0
chr2L	5010000	5012000	5011000	10000	0
chr2L	5032000	5034000	5033000	10000	2
chr2L	5060000	5062000	5061000	10000	1
chr2L	5100000	5102000	5101000	10000	0
chr2L	5154000	5156000	5155000	10000	0
chr2L	5216000	5218000	5217000	10000	0
chr2L	5270000	5272000	5271000	10000	0
chr2L	5328000	5330000	5329000	10000	0
chr2L	5366000	5368000	5367000	10000	0
chr2L	5520000	5522000	5521000	10000	0
chr2L	5548000	5550000	5549000	10000	0
chr2L	5724000	5726000	5725000	10000	0
chr2L	5770000	5772000	5771000	10000	1
chr2L	5804000	5806000	5805000	10000	0
chr2L	5906000	5908000	5907000	10000	0
chr2L	5944000	5946000	5945000	10000	4
chr2L	5986000	5988000	5987000	10000	0
chr2L	6046000	6048000	6047000	10000	1
chr2L	6070000	6072000	6071000	10000	0
chr2L	6100000	6102000	6101000	10000	0
chr2L	6128000	6130000	6129000	10000	0
chr2L	6324000	6326000	6325000	10000	0
chr2L	6338000	6340000	6339000	10000	0
chr2L	6356000	6358000	6357000	10000	0
chr2L	6444000	6446000	6445000	10000	0
chr2L	6456000	6458000	6457000	10000	1
chr2L	6480000	6482000	6481000	10000	0
chr2L	6494000	6496000	6495000	10000	1
chr2L	6566000	6568000	6567000	10000	1
chr2L	6612000	6614000	6613000	10000	0
chr2L	6650000	6652000	6651000	10000	0
chr2L	6684000	6686000	6685000	10000	1
chr2L	6724000	6726000	6725000	10000	0
chr2L	6798000	6800000	6799000	10000	2
chr2L	6852000	6854000	6853000	10000	0
chr2L	6908000	6910000	6909000	10000	0
chr2L	6950000	6952000	6951000	10000	0
chr2L	6972000	6974000	6973000	10000	2
chr2L	7028000	7030000	7029000	10000	0
chr2L	7042000	7044000	7043000	10000	0
chr2L	7064000	7066000	7065000	10000	0
chr2L	7182000	7184000	7183000	10000	0
chr2L	7220000	7222000	7221000	10000	0
chr2L	7426000	7428000	7427000	10000	0
chr2L	7496000	7498000	7497000	10000	0
chr2L	7536000	7538000	7537000	10000	1
chr2L	7642000	7644000	7643000	10000	1
chr2L	7782000	7784000	7783000	10000	0
chr2L	7828000	7830000	7829000	10000	0
chr2L	7886000	7888000	7887000	10000	0
chr2L	7978000	7980000	7979000	10000	0
chr2L	7998000	8000000	7999000	10000	1
chr2L	8030000	8032000	8031000	10000	1
chr2L	8042000	8044000	8043000	10000	0
chr2L	8082000	8084000	8083000	10000	0
chr2L	8134000	8136000	8135000	10000	0
chr2L	8162000	8164000	8163000	10000	0
chr2L	8198000	8200000	8199000	10000	0
chr2L	8240000	8242000	8241000	10000	1
chr2L	8302000	8304000	8303000	10000	0
chr2L	8320000	8322000	8321000	10000	0
chr2L	8366000	8368000	8367000	10000	0
chr2L	8384000	8386000	8385000	10000	0
chr2L	8404000	8406000	8405000	10000	0
chr2L	8414000	8416000	8415000	10000	0
chr2L	8438000	8440000	8439000	10000	0
chr2L	8464000	8466000	8465000	10000	0
chr2L	8512000	8514000	8513000	10000	0
chr2L	8542000	8544000	8543000	10000	0
chr2L	8686000	8688000	8687000	10000	0
chr2L	8710000	8712000	8711000	10000	0
chr2L	8742000	8744000	8743000	10000	0
chr2L	8966000	8968000	8967000	10000	0
chr2L	8998000	9000000	8999000	10000	0
chr2L	9120000	9122000	9121000	10000	0
chr2L	9166000	9168000	9167000	10000	0
chr2L	9254000	9256000	9255000	10000	0
chr2L	9330000	9332000	9331000	10000	1
chr2L	9494000	9496000	9495000	10000	0
chr2L	9578000	9580000	9579000	10000	1
chr2L	9612000	9614000	9613000	10000	0
chr2L	9700000	9702000	9701000	10000	0
chr2L	9758000	9760000	9759000	10000	0
chr2L	9776000	9778000	9777000	10000	2
chr2L	9794000	9796000	9795000	10000	0
chr2L	9888000	9890000	9889000	10000	1
chr2L	9900000	9902000	9901000	10000	0
chr2L	9920000	9922000	9921000	10000	2
chr2L	9968000	9970000	9969000	10000	0
chr2L	10010000	10012000	10011000	10000	0
chr2L	10056000	10058000	10057000	10000	1
chr2L	10200000	10202000	10201000	10000	0
chr2L	10232000	10234000	10233000	10000	0
chr2L	10240000	10242000	10241000	10000	0
chr2L	10250000	10252000	10251000	10000	0
chr2L	10264000	10266000	10265000	10000	0
chr2L	10278000	10280000	10279000	10000	0
chr2L	10304000	10306000	10305000	10000	0
chr2L	10334000	10336000	10335000	10000	0
chr2L	10366000	10368000	10367000	10000	1
chr2L	10388000	10390000	10389000	10000	0
chr2L	10396000	10398000	10397000	10000	0
chr2L	10408000	10410000	10409000	10000	0
chr2L	10414000	10416000	10415000	10000	0
chr2L	10426000	10428000	10427000	10000	0
chr2L	10480000	10482000	10481000	10000	0
chr2L	10518000	10520000	10519000	10000	0
chr2L	10728000	10730000	10729000	10000	1
chr2L	10770000	10772000	10771000	10000	0
chr2L	10858000	10860000	10859000	10000	0
chr2L	10964000	10966000	10965000	10000	0
chr2L	10988000	10990000	10989000	10000	1
chr2L	11004000	11006000	11005000	10000	0
chr2L	11012000	11014000	11013000	10000	0
chr2L	11092000	11094000	11093000	10000	0
chr2L	11132000	11134000	11133000	10000	0
chr2L	11268000	11270000	11269000	10000	0
chr2L	11286000	11288000	11287000	10000	0
chr2L	11498000	11500000	11499000	10000	3
chr2L	11526000	11528000	11527000	10000	0
chr2L	11790000	11792000	11791000	10000	0
chr2L	11814000	11816000	11815000	10000	2
chr2L	11994000	11996000	11995000	10000	2
chr2L	12014000	12016000	12015000	10000	0
chr2L	12056000	12058000	12057000	10000	0
chr2L	12110000	12112000	12111000	10000	0
chr2L	12216000	12218000	12217000	10000	0
chr2L	12428000	12430000	12429000	10000	1
chr2L	12434000	12436000	12435000	10000	0
chr2L	12454000	12456000	12455000	10000	0
chr2L	12520000	12522000	12521000	10000	0
chr2L	12548000	12550000	12549000	10000	1
chr2L	12692000	12694000	12693000	10000	0
chr2L	12722000	12724000	12723000	10000	0
chr2L	12974000	12976000	12975000	10000	0
chr2L	13000000	13002000	13001000	10000	1
chr2L	13022000	13024000	13023000	10000	0
chr2L	13164000	13166000	13165000	10000	0
chr2L	13204000	13206000	13205000	10000	0
chr2L	13222000	13224000	13223000	10000	0
chr2L	13290000	13292000	13291000	10000	0
chr2L	13366000	13368000	13367000	10000	0
chr2L	13394000	13396000	13395000	10000	0
chr2L	13446000	13448000	13447000	10000	0
chr2L	13502000	13504000	13503000	10000	0
chr2L	13550000	13552000	13551000	10000	0
chr2L	13642000	13644000	13643000	10000	0
chr2L	13770000	13772000	13771000	10000	1
chr2L	13780000	13782000	13781000	10000	0
chr2L	13834000	13836000	13835000	10000	0
chr2L	13842000	13844000	13843000	10000	0
chr2L	13904000	13906000	13905000	10000	1
chr2L	14036000	14038000	14037000	10000	0
chr2L	14094000	14096000	14095000	10000	0
chr2L	14160000	14162000	14161000	10000	1
chr2L	14252000	14254000	14253000	10000	0
chr2L	14362000	14364000	14363000	10000	1
chr2L	14600000	14602000	14601000	10000	0
chr2L	14706000	14708000	14707000	10000	3
chr2L	14954000	14956000	14955000	10000	0
chr2L	15008000	15010000	15009000	10000	0
chr2L	15040000	15042000	15041000	10000	1
chr2L	15068000	15070000	15069000	10000	0
chr2L	15118000	15120000	15119000	10000	1
chr2L	15254000	15256000	15255000	10000	0
chr2L	15272000	15274000	15273000	10000	0
chr2L	15498000	15500000	15499000	10000	1
chr2L	15722000	15724000	15723000	10000	0
chr2L	15744000	15746000	15745000	10000	0
chr2L	15772000	15774000	15773000	10000	0
chr2L	15906000	15908000	15907000	10000	1
chr2L	15952000	15954000	15953000	10000	1
chr2L	16252000	16254000	16253000	10000	0
chr2L	16258000	16260000	16259000	10000	0
chr2L	16288000	16290000	16289000	10000	1
chr2L	16328000	16330000	16329000	10000	0
chr2L	16356000	16358000	16357000	10000	0
chr2L	16490000	16492000	16491000	10000	1
chr2L	16508000	16510000	16509000	10000	0
chr2L	16544000	16546000	16545000	10000	0
chr2L	16588000	16590000	16589000	10000	1
chr2L	16680000	16682000	16681000	10000	0
chr2L	16704000	16706000	16705000	10000	0
chr2L	16728000	16730000	16729000	10000	0
chr2L	16816000	16818000	16817000	10000	1
chr2L	16888000	16890000	16889000	10000	0
chr2L	16926000	16928000	16927000	10000	0
chr2L	17196000	17198000	17197000	10000	1
chr2L	17368000	17370000	17369000	10000	0
chr2L	17384000	17386000	17385000	10000	0
chr2L	17502000	17504000	17503000	10000	0
chr2L	17796000	17798000	17797000	10000	0
chr2L	17952000	17954000	17953000	10000	3
chr2L	18138000	18140000	18139000	10000	1
chr2L	18158000	18160000	18159000	10000	0
chr2L	18442000	18444000	18443000	10000	0
chr2L	18514000	18516000	18515000	10000	1
chr2L	18556000	18558000	18557000	10000	0
chr2L	18590000	18592000	18591000	10000	0
chr2L	18612000	18614000	18613000	10000	0
chr2L	18682000	18684000	18683000	10000	0
chr2L	18708000	18710000	18709000	10000	0
chr2L	18830000	18832000	18831000	10000	3
chr2L	18840000	18842000	18841000	10000	3
chr2L	18858000	18860000	18859000	10000	0
chr2L	18944000	18946000	18945000	10000	0
chr2L	18988000	18990000	18989000	10000	0
chr2L	19010000	19012000	19011000	10000	1
chr2L	19054000	19056000	19055000	10000	1
chr2L	19132000	19134000	19133000	10000	0
chr2L	19186000	19188000	19187000	10000	0
chr2L	19364000	19366000	19365000	10000	1
chr2L	19400000	19402000	19401000	10000	0
chr2L	19426000	19428000	19427000	10000	1
chr2L	19454000	19456000	19455000	10000	0
chr2L	19526000	19528000	19527000	10000	0
chr2L	19542000	19544000	19543000	10000	0
chr2L	19570000	19572000	19571000	10000	0
chr2L	19584000	19586000	19585000	10000	1
chr2L	19730000	19732000	19731000	10000	0
chr2L	19796000	19798000	19797000	10000	0
chr2L	19814000	19816000	19815000	10000	1
chr2L	19888000	19890000	19889000	10000	1
chr2L	20060000	20062000	20061000	10000	0
chr2L	20076000	20078000	20077000	10000	0
chr2L	20104000	20106000	20105000	10000	0
chr2L	20294000	20296000	20295000	10000	1
chr2L	20342000	20344000	20343000	10000	0
chr2L	20416000	20418000	20417000	10000	3
chr2L	20452000	20454000	20453000	10000	0
chr2L	20640000	20642000	20641000	10000	0
chr2L	20682000	20684000	20683000	10000	0
chr2L	20734000	20736000	20735000	10000	0
chr2L	20758000	20760000	20759000	10000	0
chr2L	20788000	20790000	20789000	10000	0
chr2L	20828000	20830000	20829000	10000	0
chr2L	20926000	20928000	20927000	10000	0
chr2L	21054000	21056000	21055000	10000	0
chr2L	21102000	21104000	21103000	10000	0
chr2L	21142000	21144000	21143000	10000	0
chr2L	21154000	21156000	21155000	10000	0
chr2L	21180000	21182000	21181000	10000	0
chr2L	21222000	21224000	21223000	10000	0
chr2L	21310000	21312000	21311000	10000	0
chr2L	21404000	21406000	21405000	10000	1
chr2L	21416000	21418000	21417000	10000	1
chr2L	21444000	21446000	21445000	10000	0
chr2L	21454000	21456000	21455000	10000	0
chr2L	21516000	21518000	21517000	10000	0
chr2L	21540000	21542000	21541000	10000	0
chr2L	21552000	21554000	21553000	10000	0
chr2L	21572000	21574000	21573000	10000	0
chr2L	21656000	21658000	21657000	10000	0
chr2L	21684000	21686000	21685000	10000	0
chr2L	21762000	21764000	21763000	10000	0
chr2L	21900000	21902000	21901000	10000	0
chr2L	22120000	22122000	22121000	10000	0
chr2L	22170000	22172000	22171000	10000	0
chr2L	22182000	22184000	22183000	10000	0
chr2L	22230000	22232000	22231000	10000	0
chr2L	22260000	22262000	22261000	10000	0
chr2L	22354000	22356000	22355000	10000	0
chr2L	22388000	22390000	22389000	10000	0
chr2L	22408000	22410000	22409000	10000	0
chr2L	22506000	22508000	22507000	10000	0
chr2L	22520000	22522000	22521000	10000	0
chr2L	22590000	22592000	22591000	10000	0
chr2L	22712000	22714000	22713000	10000	0
chr2L	22740000	22742000	22741000	10000	0
chr2L	22788000	22790000	22789000	10000	0
chr2L	22808000	22810000	22809000	10000	0
chr2L	22872000	22874000	22873000	10000	0
chr2L	22882000	22884000	22883000	10000	0
chr2L	22910000	22912000	22911000	10000	0
chr2L	22916000	22918000	22917000	10000	0
chr2L	22938000	22940000	22939000	10000	0
chr2L	22960000	22962000	22961000	10000	0
chr2L	23056000	23058000	23057000	10000	0
chr2L	23134000	23136000	23135000	10000	0
chr2L	23190000	23192000	23191000	10000	1
chr2L	23196000	23198000	23197000	10000	1
chr2L	23282000	23284000	23283000	10000	0
chr2L	23308000	23310000	23309000	10000	0
chr2L	23322000	23324000	23323000	10000	0
chr2L	23384000	23386000	23385000	10000	0
chr2L	23484000	23486000	23485000	10000	0
chr2L	23496000	23498000	23497000	10000	0
chr2L	23510000	23512000	23511000	10000	0
chr2R	4000	6000	5000	10000	0
chr2R	12000	14000	13000	10000	0
chr2R	22000	24000	23000	10000	0
chr2R	38000	40000	39000	10000	0
chr2R	66000	68000	67000	10000	1
chr2R	74000	76000	75000	10000	0
chr2R	94000	96000	95000	10000	1
chr2R	104000	106000	105000	10000	1
chr2R	146000	148000	147000	10000	0
chr2R	194000	196000	195000	10000	0
chr2R	240000	242000	241000	10000	0
chr2R	288000	290000	289000	10000	0
chr2R	318000	320000	319000	10000	0
chr2R	330000	332000	331000	10000	0
chr2R	368000	370000	369000	10000	0
chr2R	396000	398000	397000	10000	0
chr2R	454000	456000	455000	10000	0
chr2R	486000	488000	487000	10000	0
chr2R	522000	524000	523000	10000	0
chr2R	566000	568000	567000	10000	0
chr2R	608000	610000	609000	10000	0
chr2R	646000	648000	647000	10000	1
chr2R	678000	680000	679000	10000	0
chr2R	712000	714000	713000	10000	0
chr2R	744000	746000	745000	10000	1
chr2R	826000	828000	827000	10000	0
chr2R	876000	878000	877000	10000	1
chr2R	898000	900000	899000	10000	1
chr2R	956000	958000	957000	10000	0
chr2R	1064000	1066000	1065000	10000	0
chr2R	1122000	1124000	1123000	10000	0
chr2R	1216000	1218000	1217000	10000	0
chr2R	1258000	1260000	1259000	10000	0
chr2R	1268000	1270000	1269000	10000	0
chr2R	1310000	1312000	1311000	10000	0
chr2R	1350000	1352000	1351000	10000	0
chr2R	1390000	1392000	1391000	10000	0
chr2R	1454000	1456000	1455000	10000	0
chr2R	1476000	1478000	1477000	10000	0
chr2R	1492000	1494000	1493000	10000	0
chr2R	1584000	1586000	1585000	10000	0
chr2R	1598000	1600000	1599000	10000	0
chr2R	1626000	1628000	1627000	10000	0
chr2R	1644000	1646000	1645000	10000	0
chr2R	1718000	1720000	1719000	10000	0
chr2R	1800000	1802000	1801000	10000	1
chr2R	1832000	1834000	1833000	10000	1
chr2R	1870000	1872000	1871000	10000	0
chr2R	1886000	1888000	1887000	10000	0
chr2R	1914000	1916000	1915000	10000	0
chr2R	1934000	1936000	1935000	10000	0
chr2R	2024000	2026000	2025000	10000	0
chr2R	2072000	2074000	2073000	10000	0
chr2R	2090000	2092000	2091000	10000	0
chr2R	2106000	2108000	2107000	10000	0
chr2R	2152000	2154000	2153000	10000	0
chr2R	2180000	2182000	2181000	10000	0
chr2R	2228000	2230000	2229000	10000	0
chr2R	2294000	2296000	2295000	10000	0
chr2R	2342000	2344000	2343000	10000	0
chr2R	2368000	2370000	2369000	10000	0
chr2R	2410000	2412000	2411000	10000	0
chr2R	2464000	2466000	2465000	10000	0
chr2R	2512000	2514000	2513000	10000	0
chr2R	2550000	2552000	2551000	10000	0
chr2R	2574000	2576000	2575000	10000	0
chr2R	2634000	2636000	2635000	10000	0
chr2R	2736000	2738000	2737000	10000	0
chr2R	2766000	2768000	2767000	10000	0
chr2R	2842000	2844000	2843000	10000	0
chr2R	2852000	2854000	2853000	10000	0
chr2R	2888000	2890000	2889000	10000	0
chr2R	3004000	3006000	3005000	10000	0
chr2R	3018000	3020000	3019000	10000	0
chr2R	3212000	3214000	3213000	10000	0
chr2R	3310000	3312000	3311000	10000	0
chr2R	3328000	3330000	3329000	10000	0
chr2R	3360000	3362000	3361000	10000	0
chr2R	3402000	3404000	3403000	10000	0
chr2R	3486000	3488000	3487000	10000	0
chr2R	3498000	3500000	3499000	10000	0
chr2R	3542000	3544000	3543000	10000	0
chr2R	3566000	3568000	3567000	10000	1
chr2R	3614000	3616000	3615000	10000	1
chr2R	3656000	3658000	3657000	10000	0
chr2R	3680000	3682000	3681000	10000	0
chr2R	3684000	3686000	3685000	10000	0
chr2R	3706000	3708000	3707000	10000	0
chr2R	3718000	3720000	3719000	10000	0
chr2R	3816000	3818000	3817000	10000	0
chr2R	3854000	3856000	3855000	10000	0
chr2R	3996000	3998000	3997000	10000	0
chr2R	4020000	4022000	4021000	10000	0
chr2R	4032000	4034000	4033000	10000	0
chr2R	4088000	4090000	4089000	10000	0
chr2R	4116000	4118000	4117000	10000	0
chr2R	4170000	4172000	4171000	10000	0
chr2R	4224000	4226000	4225000	10000	0
chr2R	4266000	4268000	4267000	10000	0
chr2R	4280000	4282000	4281000	10000	0
chr2R	4356000	4358000	4357000	10000	0
chr2R	4392000	4394000	4393000	10000	0
chr2R	4420000	4422000	4421000	10000	1
chr2R	4458000	4460000	4459000	10000	0
chr2R	4556000	4558000	4557000	10000	0
chr2R	4592000	4594000	4593000	10000	0
chr2R	4662000	4664000	4663000	10000	0
chr2R	4774000	4776000	4775000	10000	0
chr2R	4810000	4812000	4811000	10000	0
chr2R	4846000	4848000	4847000	10000	0
chr2R	4920000	4922000	4921000	10000	0
chr2R	5058000	5060000	5059000	10000	1
chr2R	5142000	5144000	5143000	10000	0
chr2R	5250000	5252000	5251000	10000	1
chr2R	5288000	5290000	5289000	10000	0
chr2R	5372000	5374000	5373000	10000	0
chr2R	5492000	5494000	5493000	10000	0
chr2R	5596000	5598000	5597000	10000	0
chr2R	5652000	5654000	5653000	10000	0
chr2R	5664000	5666000	5665000	10000	0
chr2R	5702000	5704000	5703000	10000	2
chr2R	5754000	5756000	5755000	10000	0
chr2R	5784000	5786000	5785000	10000	0
chr2R	5968000	5970000	5969000	10000	0
chr2R	5982000	5984000	5983000	10000	0
