species,human_gene,reciprocal_hit_gene,fasta_filename
Drosophila_melanogaster,CTCF,CTCFL,top_hit_CTCF_Drosophila_melanogaster.fa
Drosophila_melanogaster,ESCO1,ESCO1,top_hit_ESCO1_Drosophila_melanogaster.fa
Drosophila_melanogaster,ESCO2,ESCO1,top_hit_ESCO2_Drosophila_melanogaster.fa
Drosophila_melanogaster,HDAC8,HDAC2,top_hit_HDAC8_Drosophila_melanogaster.fa
Drosophila_melanogaster,NIPBL,NIPBL,top_hit_NIPBL_Drosophila_melanogaster.fa
Drosophila_melanogaster,PDS5A,PDS5B,top_hit_PDS5A_Drosophila_melanogaster.fa
Drosophila_melanogaster,PDS5B,PDS5B,top_hit_PDS5B_Drosophila_melanogaster.fa
Drosophila_melanogaster,RAD21,RAD21,top_hit_RAD21_Drosophila_melanogaster.fa
Drosophila_melanogaster,SMC1,SMC1A,top_hit_SMC1_Drosophila_melanogaster.fa
Drosophila_melanogaster,SMC3,SMC3,top_hit_SMC3_Drosophila_melanogaster.fa
Drosophila_melanogaster,STAG1,STAG1,top_hit_STAG1_Drosophila_melanogaster.fa
Drosophila_melanogaster,STAG2,STAG1,top_hit_STAG2_Drosophila_melanogaster.fa
Drosophila_melanogaster,WAPL,WAPL,top_hit_WAPL_Drosophila_melanogaster.fa
