Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,44,52,96,1.182
HiC_scaffold_2,73,85,158,1.164
HiC_scaffold_3,85,84,169,0.988
HiC_scaffold_4,250,249,499,0.996
HiC_scaffold_5,98,132,230,1.347
HiC_scaffold_6,128,122,250,0.953
HiC_scaffold_7,118,132,250,1.119
HiC_scaffold_8,78,71,149,0.910
HiC_scaffold_9,125,102,227,0.816
HiC_scaffold_10,106,117,223,1.104
HiC_scaffold_11,80,89,169,1.113
HiC_scaffold_12,109,104,213,0.954
HiC_scaffold_13,143,117,260,0.818
HiC_scaffold_14,118,112,230,0.949
HiC_scaffold_15,126,108,234,0.857
HiC_scaffold_16,110,110,220,1.000
HiC_scaffold_17,112,116,228,1.036
HiC_scaffold_18,125,135,260,1.080
HiC_scaffold_19,124,116,240,0.935
HiC_scaffold_20,128,126,254,0.984
HiC_scaffold_21,125,116,241,0.928
HiC_scaffold_22,82,83,165,1.012
HiC_scaffold_23,133,142,275,1.068
HiC_scaffold_24,85,81,166,0.953
HiC_scaffold_25,153,138,291,0.902
HiC_scaffold_26,191,200,391,1.047
HiC_scaffold_27,123,126,249,1.024
HiC_scaffold_28,110,109,219,0.991
HiC_scaffold_29,159,171,330,1.075
HiC_scaffold_30,172,151,323,0.878
HiC_scaffold_31,147,178,325,1.211
HiC_scaffold_32,114,152,266,1.333
HiC_scaffold_33,112,126,238,1.125
HiC_scaffold_34,225,250,475,1.111
HiC_scaffold_35,153,155,308,1.013
HiC_scaffold_36,69,76,145,1.101
HiC_scaffold_37,15,12,27,0.800
HiC_scaffold_38,45,38,83,0.844
HiC_scaffold_39,8,11,19,1.375
HiC_scaffold_40,14,8,22,0.571
HiC_scaffold_41,115,137,252,1.191
HiC_scaffold_42,122,112,234,0.918
HiC_scaffold_43,126,113,239,0.897
HiC_scaffold_44,61,76,137,1.246
HiC_scaffold_45,101,75,176,0.743
HiC_scaffold_46,125,131,256,1.048
HiC_scaffold_47,217,221,438,1.018
HiC_scaffold_48,116,116,232,1.000
HiC_scaffold_49,84,90,174,1.071
HiC_scaffold_50,97,102,199,1.052
HiC_scaffold_51,89,95,184,1.067
HiC_scaffold_52,97,83,180,0.856
HiC_scaffold_53,113,113,226,1.000
HiC_scaffold_54,96,87,183,0.906
HiC_scaffold_55,99,119,218,1.202
HiC_scaffold_56,8,8,16,1.000
HiC_scaffold_57,80,72,152,0.900
HiC_scaffold_58,68,87,155,1.279
HiC_scaffold_59,116,96,212,0.828
HiC_scaffold_60,96,76,172,0.792
HiC_scaffold_61,49,47,96,0.959
HiC_scaffold_62,71,57,128,0.803
HiC_scaffold_63,40,36,76,0.900
HiC_scaffold_64,49,44,93,0.898
HiC_scaffold_65,35,51,86,1.457
HiC_scaffold_66,29,27,56,0.931
HiC_scaffold_67,31,42,73,1.355
HiC_scaffold_68,42,35,77,0.833
HiC_scaffold_69,57,68,125,1.193
HiC_scaffold_70,7,14,21,2.000
HiC_scaffold_71,19,23,42,1.211
HiC_scaffold_72,9,6,15,0.667
HiC_scaffold_73,27,18,45,0.667
HiC_scaffold_74,19,13,32,0.684
HiC_scaffold_75,3,23,26,7.667
HiC_scaffold_76,31,25,56,0.806
HiC_scaffold_77,29,28,57,0.966
HiC_scaffold_78,15,15,30,1.000
HiC_scaffold_79,8,12,20,1.500
HiC_scaffold_80,3,3,6,1.000
HiC_scaffold_81,4,2,6,0.500
HiC_scaffold_82,2,7,9,3.500
HiC_scaffold_83,18,24,42,1.333
HiC_scaffold_84,9,9,18,1.000
TOTAL,7147,7240,14387,1.013
