species,human_gene,reciprocal_hit_gene,fasta_filename
Arabidopsis_thaliana,CTCF,KDM5D,top_hit_CTCF_Arabidopsis_thaliana.fa
Arabidopsis_thaliana,ESCO1,ESCO2,top_hit_ESCO1_Arabidopsis_thaliana.fa
Arabidopsis_thaliana,ESCO2,ESCO2,top_hit_ESCO2_Arabidopsis_thaliana.fa
Arabidopsis_thaliana,HDAC8,HDAC1,top_hit_HDAC8_Arabidopsis_thaliana.fa
Arabidopsis_thaliana,NIPBL,NIPBL,top_hit_NIPBL_Arabidopsis_thaliana.fa
Arabidopsis_thaliana,PDS5A,PDS5B,top_hit_PDS5A_Arabidopsis_thaliana.fa
Arabidopsis_thaliana,PDS5B,PDS5B,top_hit_PDS5B_Arabidopsis_thaliana.fa
Arabidopsis_thaliana,RAD21,RAD21,top_hit_RAD21_Arabidopsis_thaliana.fa
Arabidopsis_thaliana,SMC1,SMC1A,top_hit_SMC1_Arabidopsis_thaliana.fa
Arabidopsis_thaliana,SMC3,SMC3,top_hit_SMC3_Arabidopsis_thaliana.fa
Arabidopsis_thaliana,STAG1,STAG1,top_hit_STAG1_Arabidopsis_thaliana.fa
Arabidopsis_thaliana,STAG2,STAG1,top_hit_STAG2_Arabidopsis_thaliana.fa
Arabidopsis_thaliana,WAPL,WAPL,top_hit_WAPL_Arabidopsis_thaliana.fa
