species,human_gene,reciprocal_hit_gene,fasta_filename
Strongylocentrotus_purpuratus_NCBI,CTCF,CTCF,top_hit_CTCF_Strongylocentrotus_purpuratus_NCBI.fa
Strongylocentrotus_purpuratus_NCBI,ESCO1,ESCO1,top_hit_ESCO1_Strongylocentrotus_purpuratus_NCBI.fa
Strongylocentrotus_purpuratus_NCBI,ESCO2,ESCO1,top_hit_ESCO2_Strongylocentrotus_purpuratus_NCBI.fa
Strongylocentrotus_purpuratus_NCBI,HDAC8,NA,top_hit_HDAC8_Strongylocentrotus_purpuratus_NCBI.fa
Strongylocentrotus_purpuratus_NCBI,NIPBL,NIPBL,top_hit_NIPBL_Strongylocentrotus_purpuratus_NCBI.fa
Strongylocentrotus_purpuratus_NCBI,PDS5A,PDS5B,top_hit_PDS5A_Strongylocentrotus_purpuratus_NCBI.fa
Strongylocentrotus_purpuratus_NCBI,PDS5B,PDS5B,top_hit_PDS5B_Strongylocentrotus_purpuratus_NCBI.fa
Strongylocentrotus_purpuratus_NCBI,RAD21,RAD21,top_hit_RAD21_Strongylocentrotus_purpuratus_NCBI.fa
Strongylocentrotus_purpuratus_NCBI,SMC1,SMC1A,top_hit_SMC1_Strongylocentrotus_purpuratus_NCBI.fa
Strongylocentrotus_purpuratus_NCBI,SMC3,SMC3,top_hit_SMC3_Strongylocentrotus_purpuratus_NCBI.fa
Strongylocentrotus_purpuratus_NCBI,STAG1,STAG2,top_hit_STAG1_Strongylocentrotus_purpuratus_NCBI.fa
Strongylocentrotus_purpuratus_NCBI,STAG2,STAG2,top_hit_STAG2_Strongylocentrotus_purpuratus_NCBI.fa
Strongylocentrotus_purpuratus_NCBI,WAPL,WAPL,top_hit_WAPL_Strongylocentrotus_purpuratus_NCBI.fa
