species,human_gene,reciprocal_hit_gene,fasta_filename
Camponotus_floridanus,CTCF,CTCF,top_hit_CTCF_Camponotus_floridanus.fa
Camponotus_floridanus,ESCO1,ESCO1,top_hit_ESCO1_Camponotus_floridanus.fa
Camponotus_floridanus,ESCO2,ESCO1,top_hit_ESCO2_Camponotus_floridanus.fa
Camponotus_floridanus,HDAC8,HDAC2,top_hit_HDAC8_Camponotus_floridanus.fa
Camponotus_floridanus,NIPBL,NIPBL,top_hit_NIPBL_Camponotus_floridanus.fa
Camponotus_floridanus,PDS5A,PDS5B,top_hit_PDS5A_Camponotus_floridanus.fa
Camponotus_floridanus,PDS5B,PDS5B,top_hit_PDS5B_Camponotus_floridanus.fa
Camponotus_floridanus,RAD21,RAD21,top_hit_RAD21_Camponotus_floridanus.fa
Camponotus_floridanus,SMC1,SMC1A,top_hit_SMC1_Camponotus_floridanus.fa
Camponotus_floridanus,SMC3,SMC3,top_hit_SMC3_Camponotus_floridanus.fa
Camponotus_floridanus,STAG1,STAG1,top_hit_STAG1_Camponotus_floridanus.fa
Camponotus_floridanus,STAG2,STAG1,top_hit_STAG2_Camponotus_floridanus.fa
Camponotus_floridanus,WAPL,WAPL,top_hit_WAPL_Camponotus_floridanus.fa
