chrom	start	end	region	is_bad_bin	log2_insulation_score_100000	n_valid_pixels_100000	boundary_strength_100000	is_boundary_100000
HiC_scaffold_1	20000	22000	HiC_scaffold_1	False	-0.38702312310924736	1.0	1.0	True
HiC_scaffold_1	48000	50000	HiC_scaffold_1	False	-0.38702312310924736	4.0	2.3219280948873626	True
HiC_scaffold_1	56000	58000	HiC_scaffold_1	False	-0.31302254166547044	19.0	0.604071323668861	True
HiC_scaffold_1	62000	64000	HiC_scaffold_1	False	-0.2650325987306371	34.0	0.22593277904169673	True
HiC_scaffold_1	88000	90000	HiC_scaffold_1	False	-0.034142099892972885	83.0	0.1453698443115512	True
HiC_scaffold_1	132000	134000	HiC_scaffold_1	False	-0.2312284505018232	114.0	0.457850582817817	True
HiC_scaffold_1	152000	154000	HiC_scaffold_1	False	-0.11226623225091198	143.0	0.2557578258404446	True
HiC_scaffold_1	178000	180000	HiC_scaffold_1	False	0.4334274565600401	94.0	0.23669332743432137	True
HiC_scaffold_1	182000	184000	HiC_scaffold_1	False	0.5759826694085511	79.0	0.10208923570408657	True
HiC_scaffold_1	192000	194000	HiC_scaffold_1	False	0.18488322478646238	37.0	0.5264973561652849	True
HiC_scaffold_1	204000	206000	HiC_scaffold_1	False	-0.28010791919273537	13.0	1.1233824155052823	True
HiC_scaffold_1	212000	214000	HiC_scaffold_1	False	-0.2614922410253885	11.0	0.11547721741993625	True
HiC_scaffold_1	222000	224000	HiC_scaffold_1	False	-0.19437804516685153	7.0	0.4353861446706465	True
HiC_scaffold_1	238000	240000	HiC_scaffold_1	False	0.26505357347044584	28.0	0.44745897697122133	True
HiC_scaffold_1	296000	298000	HiC_scaffold_1	False	0.5860098292904835	27.0	0.11103131238874386	True
HiC_scaffold_1	316000	318000	HiC_scaffold_1	False	0.27594188961318195	24.0	0.3370349872775707	True
HiC_scaffold_1	324000	326000	HiC_scaffold_1	False	-0.12398871727545348	5.0	0.3219280948873623	True
HiC_scaffold_1	334000	336000	HiC_scaffold_1	False	-0.2614922410253885	11.0	0.5265458144958344	True
HiC_scaffold_1	352000	354000	HiC_scaffold_1	False	-0.2350200296641973	18.0	0.15833702716710057	True
HiC_scaffold_1	366000	368000	HiC_scaffold_1	False	-0.27154590568931136	36.0	0.7383020417290203	True
HiC_scaffold_1	434000	436000	HiC_scaffold_1	False	0.034063420842401625	357.0	0.1274160189532711	True
HiC_scaffold_1	474000	476000	HiC_scaffold_1	False	-0.13303385687846048	400.0	0.27652545046799315	True
HiC_scaffold_1	524000	526000	HiC_scaffold_1	False	-0.10782151430600097	281.0	0.1246953328703971	True
HiC_scaffold_1	538000	540000	HiC_scaffold_1	False	-0.15754127698648013	203.0	0.24772447424250613	True
HiC_scaffold_1	604000	606000	HiC_scaffold_1	False	-0.225960690376731	254.0	0.5661363298512969	True
HiC_scaffold_1	640000	642000	HiC_scaffold_1	False	-0.005997849937270508	397.0	0.1636475065234627	True
HiC_scaffold_1	676000	678000	HiC_scaffold_1	False	0.08155725202651598	443.0	0.11339208297958131	True
HiC_scaffold_1	770000	772000	HiC_scaffold_1	False	-0.012748492741988133	341.0	0.1682526040335003	True
HiC_scaffold_1	824000	826000	HiC_scaffold_1	False	-0.1623922295767999	184.0	0.4780718761172138	True
HiC_scaffold_1	854000	856000	HiC_scaffold_1	False	-0.057521808517084064	152.0	0.13681668963037394	True
HiC_scaffold_1	870000	872000	HiC_scaffold_1	False	-0.10991353206373082	170.0	0.15193476622720656	True
HiC_scaffold_1	898000	900000	HiC_scaffold_1	False	-0.1546604130178712	206.0	0.37923491713324675	True
HiC_scaffold_1	962000	964000	HiC_scaffold_1	False	-0.0664012257225098	221.0	0.28046026869769575	True
HiC_scaffold_1	982000	984000	HiC_scaffold_1	False	0.009581658072611124	256.0	0.12929773516644102	True
HiC_scaffold_1	1044000	1046000	HiC_scaffold_1	False	-0.016342849863511484	611.0	0.16033312822845133	True
HiC_scaffold_1	1138000	1140000	HiC_scaffold_1	False	-0.05279766941850077	257.0	0.22592072685920045	True
HiC_scaffold_1	1160000	1162000	HiC_scaffold_1	False	-0.30456096291727436	136.0	0.1174754103167791	True
HiC_scaffold_1	1186000	1188000	HiC_scaffold_1	False	-0.3051461160548396	137.0	1.3312609593089546	True
HiC_scaffold_1	1222000	1224000	HiC_scaffold_1	False	-0.2350200296641973	99.0	0.16706534730307174	True
HiC_scaffold_1	1248000	1250000	HiC_scaffold_1	False	-0.14432171937245983	131.0	0.14432171937245983	True
HiC_scaffold_1	1328000	1330000	HiC_scaffold_1	False	0.3378992802311884	409.0	0.18307328235726683	True
HiC_scaffold_1	1386000	1388000	HiC_scaffold_1	False	0.6620143701993072	376.0	0.21736662325133405	True
HiC_scaffold_1	1430000	1432000	HiC_scaffold_1	False	0.04410835228989739	468.0	0.14245895250206314	True
HiC_scaffold_1	1494000	1496000	HiC_scaffold_1	False	-0.14713079708789653	199.0	0.14803332764025198	True
HiC_scaffold_1	1566000	1568000	HiC_scaffold_1	False	-0.27154590568931136	84.0	0.724230822736539	True
HiC_scaffold_1	1690000	1692000	HiC_scaffold_1	False	0.12503883056446127	115.0	0.11005354546491355	True
HiC_scaffold_1	1740000	1742000	HiC_scaffold_1	False	-0.27154590568931136	72.0	0.724230822736539	True
HiC_scaffold_1	1780000	1782000	HiC_scaffold_1	False	-0.06656043722638373	197.0	0.17451844800062719	True
HiC_scaffold_1	1818000	1820000	HiC_scaffold_1	False	-0.19526232042646266	204.0	0.39630093669725797	True
HiC_scaffold_1	1836000	1838000	HiC_scaffold_1	False	-0.12059014081358854	212.0	0.10458966211987333	True
HiC_scaffold_1	1868000	1870000	HiC_scaffold_1	False	-0.037361632682427544	237.0	0.11811747092399738	True
HiC_scaffold_1	1884000	1886000	HiC_scaffold_1	False	0.004236992886470694	260.0	0.12107458463804094	True
HiC_scaffold_1	1932000	1934000	HiC_scaffold_1	False	-0.0770316479895836	267.0	0.1275885928102685	True
HiC_scaffold_1	1940000	1942000	HiC_scaffold_1	False	-0.13548435611328286	252.0	0.263034405833794	True
HiC_scaffold_1	1984000	1986000	HiC_scaffold_1	False	-0.043068721891886146	312.0	0.20768802630376867	True
HiC_scaffold_1	2024000	2026000	HiC_scaffold_1	False	-0.0019181299072339596	487.0	0.1307731955836582	True
HiC_scaffold_1	2202000	2204000	HiC_scaffold_1	False	-0.012076645922393763	374.0	0.18545891929032401	True
HiC_scaffold_1	2224000	2226000	HiC_scaffold_1	False	0.02144172224611059	275.0	0.1372382249185713	True
HiC_scaffold_1	2260000	2262000	HiC_scaffold_1	False	-0.2638748923363823	101.0	0.6419227010736952	True
HiC_scaffold_1	2268000	2270000	HiC_scaffold_1	False	-0.2638748923363823	101.0	0.6419227010736952	True
HiC_scaffold_1	2446000	2448000	HiC_scaffold_1	False	-0.1178364902938583	195.0	0.19793937761190883	True
HiC_scaffold_1	2486000	2488000	HiC_scaffold_1	False	-0.206840216301496	218.0	0.47316656889365516	True
HiC_scaffold_1	2530000	2532000	HiC_scaffold_1	False	-0.13326653086346424	208.0	0.11237130655211447	True
HiC_scaffold_1	2646000	2648000	HiC_scaffold_1	False	-0.13326653086346424	468.0	0.27719497382526403	True
HiC_scaffold_1	2712000	2714000	HiC_scaffold_1	False	-0.054288273265301994	266.0	0.3114668542518869	True
HiC_scaffold_1	2726000	2728000	HiC_scaffold_1	False	0.05316785339793486	199.0	0.1167571480443775	True
HiC_scaffold_1	2772000	2774000	HiC_scaffold_1	False	-0.04237495172180155	63.0	0.13688473967830475	True
HiC_scaffold_1	2808000	2810000	HiC_scaffold_1	False	-0.2733663413136801	61.0	1.208271313091795	True
HiC_scaffold_1	2874000	2876000	HiC_scaffold_1	False	0.4030538075165213	48.0	0.20992306937423133	True
HiC_scaffold_1	2888000	2890000	HiC_scaffold_1	False	0.6289184207597741	45.0	0.18045566893448184	True
HiC_scaffold_1	2898000	2900000	HiC_scaffold_1	False	-0.3090206111079741	18.0	0.7825944313333104	True
HiC_scaffold_1	2986000	2988000	HiC_scaffold_1	False	-0.2939137187177658	30.0	0.3054399720987934	True
HiC_scaffold_1	3030000	3032000	HiC_scaffold_1	False	-0.2995602818589078	16.0	0.6129768768907528	True
HiC_scaffold_1	3040000	3042000	HiC_scaffold_1	False	-0.21709812166693498	24.0	0.15200309344504997	True
HiC_scaffold_1	3058000	3060000	HiC_scaffold_1	False	0.1186169249505033	81.0	0.15487348566858244	True
HiC_scaffold_1	3068000	3070000	HiC_scaffold_1	False	0.14499049766295	74.0	0.2516684723010394	True
HiC_scaffold_1	3082000	3084000	HiC_scaffold_1	False	0.25582029369240866	57.0	0.10779711426162691	True
HiC_scaffold_1	3124000	3126000	HiC_scaffold_1	False	-0.38702312310924736	12.0	2.3219280948873626	True
HiC_scaffold_1	3192000	3194000	HiC_scaffold_1	False	-0.38702312310924736	3.0	2.3219280948873626	True
HiC_scaffold_1	3264000	3266000	HiC_scaffold_1	False	-0.38702312310924736	7.0	2.3219280948873626	True
HiC_scaffold_1	3290000	3292000	HiC_scaffold_1	False	0.5389762954469759	10.0	0.124626654513745	True
HiC_scaffold_1	3296000	3298000	HiC_scaffold_1	False	0.42033179894835676	12.0	0.2515387669959646	True
HiC_scaffold_1	3422000	3424000	HiC_scaffold_1	False	-0.2495195993593123	20.0	0.6942249936602664	True
HiC_scaffold_1	3438000	3440000	HiC_scaffold_1	False	-0.11284815967025313	86.0	0.1663976279469874	True
HiC_scaffold_1	3474000	3476000	HiC_scaffold_1	False	-0.07617447410237461	183.0	0.4600173517776241	True
HiC_scaffold_1	3498000	3500000	HiC_scaffold_1	False	-0.008511499855517406	190.0	0.14841875609601118	True
HiC_scaffold_1	3544000	3546000	HiC_scaffold_1	False	-0.2495195993593123	40.0	0.23689199103156297	True
HiC_scaffold_1	3552000	3554000	HiC_scaffold_1	False	-0.38702312310924736	15.0	2.3219280948873626	True
HiC_scaffold_1	3650000	3652000	HiC_scaffold_1	False	-0.033386168494546946	54.0	0.11031014514509005	True
HiC_scaffold_1	3754000	3756000	HiC_scaffold_1	False	-0.26945352672807116	106.0	0.8673235112286155	True
HiC_scaffold_1	3810000	3812000	HiC_scaffold_1	False	0.037998464742218754	108.0	0.17867747545127577	True
HiC_scaffold_1	3836000	3838000	HiC_scaffold_1	False	-0.15180666141521587	96.0	0.5412002831908985	True
HiC_scaffold_1	3916000	3918000	HiC_scaffold_1	False	-0.005152487765602874	99.0	0.11382452728042435	True
HiC_scaffold_1	3924000	3926000	HiC_scaffold_1	False	0.1931701334640369	101.0	0.1913295596292904	True
HiC_scaffold_1	3996000	3998000	HiC_scaffold_1	False	-0.20698809402209367	158.0	0.5516748396275573	True
HiC_scaffold_1	4120000	4122000	HiC_scaffold_1	False	-0.09751650591426234	315.0	0.2702185920271485	True
HiC_scaffold_1	4150000	4152000	HiC_scaffold_1	False	-0.054123910400881825	262.0	0.20187753084457402	True
HiC_scaffold_1	4174000	4176000	HiC_scaffold_1	False	-0.16005797198297528	135.0	0.4608457571866343	True
HiC_scaffold_1	4218000	4220000	HiC_scaffold_1	False	-0.09382674676520114	142.0	0.3697686363783831	True
HiC_scaffold_1	4308000	4310000	HiC_scaffold_1	False	-0.015054345722289308	119.0	0.14530691582262364	True
HiC_scaffold_1	4340000	4342000	HiC_scaffold_1	False	-0.01223321383625852	209.0	0.10980563291839679	True
HiC_scaffold_1	4372000	4374000	HiC_scaffold_1	False	-0.08814351832873135	265.0	0.17007478797528777	True
HiC_scaffold_1	4394000	4396000	HiC_scaffold_1	False	-0.11465085269611713	308.0	0.10971480706442706	True
HiC_scaffold_1	4414000	4416000	HiC_scaffold_1	False	-0.16184826110147255	296.0	0.2288023265374145	True
HiC_scaffold_1	4460000	4462000	HiC_scaffold_1	False	-0.09435962272707964	249.0	0.10263778083541397	True
HiC_scaffold_1	4522000	4524000	HiC_scaffold_1	False	-0.26453911658425217	158.0	0.7540329400400048	True
HiC_scaffold_1	4588000	4590000	HiC_scaffold_1	False	-0.2341716350258763	170.0	0.11156414814878342	True
HiC_scaffold_1	4630000	4632000	HiC_scaffold_1	False	-0.015365170896580082	211.0	0.15885676448611272	True
HiC_scaffold_1	4670000	4672000	HiC_scaffold_1	False	0.03099207596949199	363.0	0.11520372654841868	True
HiC_scaffold_1	4744000	4746000	HiC_scaffold_1	False	-0.0790166742994237	479.0	0.38043217186107364	True
HiC_scaffold_1	4846000	4848000	HiC_scaffold_1	False	0.03242147769237742	572.0	0.11437905092773044	True
HiC_scaffold_1	4866000	4868000	HiC_scaffold_1	False	0.05117466108883062	448.0	0.10612273202573244	True
HiC_scaffold_1	4910000	4912000	HiC_scaffold_1	False	-0.08684958086240624	147.0	0.11242491158058542	True
HiC_scaffold_1	4996000	4998000	HiC_scaffold_1	False	-0.1488633859144827	78.0	0.4658864198901692	True
HiC_scaffold_1	5024000	5026000	HiC_scaffold_1	False	0.10991462981468461	107.0	0.20887914267161004	True
HiC_scaffold_1	5114000	5116000	HiC_scaffold_1	False	-0.010168817718291456	268.0	0.25820680692056586	True
HiC_scaffold_1	5254000	5256000	HiC_scaffold_1	False	-0.0426211664234638	586.0	0.17556328918893704	True
HiC_scaffold_1	5310000	5312000	HiC_scaffold_1	False	-0.059933323106106016	279.0	0.4943720682498383	True
HiC_scaffold_1	5332000	5334000	HiC_scaffold_1	False	-0.042064059566544014	174.0	0.17667750180962358	True
HiC_scaffold_1	5360000	5362000	HiC_scaffold_1	False	-0.10948914758033838	132.0	0.727839196569943	True
HiC_scaffold_1	5406000	5408000	HiC_scaffold_1	False	0.09062635346927539	186.0	0.146841388329271	True
HiC_scaffold_1	5454000	5456000	HiC_scaffold_1	False	0.345872806747912	142.0	0.27815925865183644	True
HiC_scaffold_1	5572000	5574000	HiC_scaffold_1	False	-0.11006175923337602	189.0	0.5355552632975117	True
HiC_scaffold_1	5648000	5650000	HiC_scaffold_1	False	-0.13625605714312378	374.0	0.6527700945325852	True
HiC_scaffold_1	5732000	5734000	HiC_scaffold_1	False	0.14890188430335438	389.0	0.10394583441094396	True
HiC_scaffold_1	5768000	5770000	HiC_scaffold_1	False	0.39592867633113904	247.0	0.10781913080485539	True
HiC_scaffold_1	5790000	5792000	HiC_scaffold_1	False	0.06602770210632804	103.0	0.3572879552808501	True
HiC_scaffold_1	5934000	5936000	HiC_scaffold_1	False	-0.13176606786717265	31.0	0.4270026468339965	True
HiC_scaffold_1	5946000	5948000	HiC_scaffold_1	False	-0.07890082774691543	42.0	0.1482559992974114	True
HiC_scaffold_1	5950000	5952000	HiC_scaffold_1	False	-0.10071893795260635	41.0	0.11968817451919586	True
HiC_scaffold_1	5976000	5978000	HiC_scaffold_1	False	-0.21709812166693498	32.0	0.6825178101438298	True
HiC_scaffold_1	5994000	5996000	HiC_scaffold_1	False	-0.19939611993347608	36.0	0.16992500144231248	True
HiC_scaffold_1	6014000	6016000	HiC_scaffold_1	False	-0.17551901791553548	76.0	0.15349271158553657	True
HiC_scaffold_1	6022000	6024000	HiC_scaffold_1	False	-0.17070521618248372	68.0	0.10945225425499305	True
HiC_scaffold_1	6056000	6058000	HiC_scaffold_1	False	0.32151406273044136	82.0	0.11589124957685681	True
HiC_scaffold_1	6096000	6098000	HiC_scaffold_1	False	-0.17756975748029752	64.0	0.34448223947158196	True
HiC_scaffold_1	6122000	6124000	HiC_scaffold_1	False	-0.0213736507925669	52.0	0.15677156233576295	True
HiC_scaffold_1	6132000	6134000	HiC_scaffold_1	False	0.011526253381027663	44.0	0.10187961401921353	True
HiC_scaffold_1	6138000	6140000	HiC_scaffold_1	False	-0.065095028221885	36.0	0.14519791553993555	True
HiC_scaffold_1	6148000	6150000	HiC_scaffold_1	False	-0.31302254166547044	19.0	1.078002512001273	True
HiC_scaffold_1	6160000	6162000	HiC_scaffold_1	False	-0.31302254166547044	19.0	1.078002512001273	True
HiC_scaffold_1	6168000	6170000	HiC_scaffold_1	False	-0.38702312310924736	7.0	2.3219280948873626	True
HiC_scaffold_1	6188000	6190000	HiC_scaffold_1	False	0.24374306722503375	31.0	0.3692338096657189	True
HiC_scaffold_1	6214000	6216000	HiC_scaffold_1	False	-0.325622578445104	23.0	0.10852445677816902	True
HiC_scaffold_1	6252000	6254000	HiC_scaffold_1	False	-0.38702312310924736	2.0	2.3219280948873626	True
HiC_scaffold_1	6278000	6280000	HiC_scaffold_1	False	-0.38702312310924736	3.0	2.3219280948873626	True
HiC_scaffold_1	6290000	6292000	HiC_scaffold_1	False	-0.19437804516685153	14.0	0.12928301694496652	True
HiC_scaffold_1	6322000	6324000	HiC_scaffold_1	False	0.063638285900318	30.0	0.23739458467569458	True
HiC_scaffold_1	6350000	6352000	HiC_scaffold_1	False	-0.02856915219677079	39.0	0.5849625007211562	True
HiC_scaffold_1	6374000	6376000	HiC_scaffold_1	False	-0.015054345722289308	34.0	0.20060999887836578	True
HiC_scaffold_1	6384000	6386000	HiC_scaffold_1	False	0.19793937761190883	28.0	0.35845397091247655	True
HiC_scaffold_1	6396000	6398000	HiC_scaffold_1	False	-0.13176606786717265	31.0	0.24997825300834753	True
HiC_scaffold_1	6416000	6418000	HiC_scaffold_1	False	-0.1499839258083979	28.0	0.12553088208385899	True
HiC_scaffold_1	6438000	6440000	HiC_scaffold_1	False	-0.2495195993593123	30.0	0.7535621046969011	True
HiC_scaffold_1	6442000	6444000	HiC_scaffold_1	False	-0.2495195993593123	30.0	0.7535621046969011	True
HiC_scaffold_1	6450000	6452000	HiC_scaffold_1	False	-0.2309039211919654	35.0	0.14086253583984965	True
HiC_scaffold_1	6542000	6544000	HiC_scaffold_1	False	-0.19437804516685153	49.0	0.513623719000894	True
HiC_scaffold_1	6586000	6588000	HiC_scaffold_1	False	-0.1890837454973385	102.0	0.18998627604969395	True
HiC_scaffold_1	6608000	6610000	HiC_scaffold_1	False	0.10058300212024149	189.0	0.19853520985903497	True
HiC_scaffold_1	6644000	6646000	HiC_scaffold_1	False	0.0544477840223762	338.0	0.23347940633930397	True
HiC_scaffold_1	6696000	6698000	HiC_scaffold_1	False	-0.03119462160359417	286.0	0.24307319017337678	True
HiC_scaffold_1	6748000	6750000	HiC_scaffold_1	False	-0.07016601776930674	228.0	0.11868925273932396	True
HiC_scaffold_1	6782000	6784000	HiC_scaffold_1	False	-0.1605145933005675	200.0	0.44560592000755833	True
HiC_scaffold_1	6866000	6868000	HiC_scaffold_1	False	-0.2759918107205033	100.0	0.1577854460390562	True
HiC_scaffold_1	6872000	6874000	HiC_scaffold_1	False	-0.2557785898309946	84.0	0.12029423371771175	True
HiC_scaffold_1	6922000	6924000	HiC_scaffold_1	False	-0.3242873677612845	45.0	0.7446191667096412	True
HiC_scaffold_1	6938000	6940000	HiC_scaffold_1	False	-0.2265584509160012	68.0	0.19971089205107942	True
HiC_scaffold_1	6958000	6960000	HiC_scaffold_1	False	-0.2350200296641973	81.0	0.2105669859396584	True
HiC_scaffold_1	7010000	7012000	HiC_scaffold_1	False	-0.1512779388477827	169.0	0.2318603658215328	True
HiC_scaffold_1	7032000	7034000	HiC_scaffold_1	False	-0.06849360468374989	170.0	0.15710799185731805	True
HiC_scaffold_1	7092000	7094000	HiC_scaffold_1	False	-0.065095028221885	160.0	0.18109279229761788	True
HiC_scaffold_1	7110000	7112000	HiC_scaffold_1	False	-0.07431355825126369	157.0	0.15157145344070933	True
HiC_scaffold_1	7208000	7210000	HiC_scaffold_1	False	-0.2777940533544888	89.0	0.6028744639326703	True
HiC_scaffold_1	7258000	7260000	HiC_scaffold_1	False	0.08610073725532115	286.0	0.18638559372164193	True
HiC_scaffold_1	7306000	7308000	HiC_scaffold_1	False	-0.0017329672244556628	392.0	0.2883645811682476	True
