Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,14416,14275,28691,0.990
HiC_scaffold_2,13510,13525,27035,1.001
HiC_scaffold_3,12481,12398,24879,0.993
HiC_scaffold_4,12573,12811,25384,1.019
HiC_scaffold_5,11839,12023,23862,1.016
HiC_scaffold_6,11558,11502,23060,0.995
HiC_scaffold_7,9859,9980,19839,1.012
HiC_scaffold_8,10152,10050,20202,0.990
HiC_scaffold_9,9070,9102,18172,1.004
HiC_scaffold_10,8919,8900,17819,0.998
HiC_scaffold_11,8690,8668,17358,0.997
HiC_scaffold_12,7659,7510,15169,0.981
HiC_scaffold_13,7853,7828,15681,0.997
HiC_scaffold_14,7684,7629,15313,0.993
HiC_scaffold_15,6985,7075,14060,1.013
HiC_scaffold_16,6834,6967,13801,1.019
HiC_scaffold_17,6446,6622,13068,1.027
HiC_scaffold_18,6508,6379,12887,0.980
HiC_scaffold_19,6167,6314,12481,1.024
HiC_scaffold_20,5846,5698,11544,0.975
HiC_scaffold_21,5991,6287,12278,1.049
HiC_scaffold_22,5208,5228,10436,1.004
HiC_scaffold_23,5399,5670,11069,1.050
HiC_scaffold_24,5321,5090,10411,0.957
HiC_scaffold_25,4997,4933,9930,0.987
HiC_scaffold_26,5532,5311,10843,0.960
HiC_scaffold_27,4878,4761,9639,0.976
HiC_scaffold_28,4672,4652,9324,0.996
HiC_scaffold_29,4582,4662,9244,1.017
HiC_scaffold_30,4467,4523,8990,1.013
HiC_scaffold_31,4452,4571,9023,1.027
HiC_scaffold_32,4167,4078,8245,0.979
HiC_scaffold_33,4252,4354,8606,1.024
HiC_scaffold_34,4050,3868,7918,0.955
HiC_scaffold_35,3879,3893,7772,1.004
HiC_scaffold_36,3475,3415,6890,0.983
HiC_scaffold_37,3233,3127,6360,0.967
HiC_scaffold_38,2581,2747,5328,1.064
HiC_scaffold_39,3212,3218,6430,1.002
HiC_scaffold_40,2738,2724,5462,0.995
HiC_scaffold_41,2133,2201,4334,1.032
HiC_scaffold_42,2361,2462,4823,1.043
HiC_scaffold_43,1625,1653,3278,1.017
HiC_scaffold_44,1300,1324,2624,1.018
HiC_scaffold_45,1072,1087,2159,1.014
HiC_scaffold_46,1520,1462,2982,0.962
HiC_scaffold_47,1190,1159,2349,0.974
HiC_scaffold_48,1087,1102,2189,1.014
HiC_scaffold_49,620,651,1271,1.050
HiC_scaffold_50,639,567,1206,0.887
HiC_scaffold_51,818,783,1601,0.957
HiC_scaffold_52,421,399,820,0.948
TOTAL,286921,287218,574139,1.001
