species,human_gene,reciprocal_hit_gene,fasta_filename
Bos_taurus,CTCF,CTCF,top_hit_CTCF_Bos_taurus.fa
Bos_taurus,ESCO1,ESCO1,top_hit_ESCO1_Bos_taurus.fa
Bos_taurus,ESCO2,ESCO2,top_hit_ESCO2_Bos_taurus.fa
Bos_taurus,HDAC8,HDAC1,top_hit_HDAC8_Bos_taurus.fa
Bos_taurus,NIPBL,NIPBL,top_hit_NIPBL_Bos_taurus.fa
Bos_taurus,PDS5A,PDS5A,top_hit_PDS5A_Bos_taurus.fa
Bos_taurus,PDS5B,PDS5B,top_hit_PDS5B_Bos_taurus.fa
Bos_taurus,RAD21,RAD21,top_hit_RAD21_Bos_taurus.fa
Bos_taurus,SMC1,SMC1A,top_hit_SMC1_Bos_taurus.fa
Bos_taurus,SMC3,SMC3,top_hit_SMC3_Bos_taurus.fa
Bos_taurus,STAG1,STAG2,top_hit_STAG1_Bos_taurus.fa
Bos_taurus,STAG2,STAG2,top_hit_STAG2_Bos_taurus.fa
Bos_taurus,WAPL,WAPL,top_hit_WAPL_Bos_taurus.fa
