Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
NC_006088.5,28958,29528,58486,1.020
NC_006089.5,20756,20739,41495,0.999
NC_006090.5,15452,15395,30847,0.996
NC_006091.5,13295,13513,26808,1.016
NC_006092.5,9516,9585,19101,1.007
NC_006093.5,6128,6184,12312,1.009
NC_006094.5,5834,5796,11630,0.993
NC_006095.5,5238,5139,10377,0.981
NC_006096.5,4635,4533,9168,0.978
NC_006097.5,4107,4020,8127,0.979
NC_006098.5,3554,3626,7180,1.020
NC_006099.5,4015,4164,8179,1.037
NC_006100.5,4137,4443,8580,1.074
NC_006101.5,3800,3826,7626,1.007
NC_006102.5,3013,3220,6233,1.069
NC_006103.5,1033,1038,2071,1.005
NC_006104.5,2957,2899,5856,0.980
NC_006105.5,3075,3018,6093,0.981
NC_006106.5,2852,2781,5633,0.975
NC_006107.5,3487,3454,6941,0.991
NC_006108.5,1954,1852,3806,0.948
NC_006109.5,1497,1523,3020,1.017
NC_006110.5,2158,2232,4390,1.034
NC_006111.5,2043,1858,3901,0.909
NC_006112.4,1562,1651,3213,1.057
NC_006113.5,2138,2177,4315,1.018
NC_006114.5,2423,2431,4854,1.003
NC_006115.5,2103,1922,4025,0.914
NC_006119.4,494,421,915,0.852
NC_006126.5,1631,1654,3285,1.014
NC_006127.5,14086,13999,28085,0.994
NC_008465.4,3473,3796,7269,1.093
NC_028739.2,860,1010,1870,1.174
NC_028740.2,2532,2409,4941,0.951
TOTAL,184796,185836,370632,1.006
