Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
chr2L,2861,2789,5650,0.975
chr2R,3275,3094,6369,0.945
chr3L,3279,3204,6483,0.977
chr3R,3981,3947,7928,0.991
chr4,112,95,207,0.848
chrUn_CP007072v1,2,2,4,1.000
chrUn_CP007073v1,0,1,1,inf
chrUn_CP007074v1,3,5,8,1.667
chrUn_CP007076v1,7,15,22,2.143
chrUn_CP007078v1,2,1,3,0.500
chrUn_CP007080v1,5,10,15,2.000
chrUn_CP007081v1,2,5,7,2.500
chrUn_CP007082v1,3,0,3,0.000
chrUn_CP007083v1,1,0,1,0.000
chrUn_CP007084v1,4,2,6,0.500
chrUn_CP007085v1,1,4,5,4.000
chrUn_CP007087v1,4,1,5,0.250
chrUn_CP007088v1,8,4,12,0.500
chrUn_CP007089v1,0,1,1,inf
chrUn_CP007090v1,3,1,4,0.333
chrUn_CP007091v1,5,1,6,0.200
chrUn_CP007093v1,2,1,3,0.500
chrUn_CP007094v1,3,1,4,0.333
chrUn_CP007095v1,2,1,3,0.500
chrUn_CP007096v1,2,0,2,0.000
chrUn_CP007098v1,0,2,2,inf
chrUn_CP007100v1,0,1,1,inf
chrUn_CP007101v1,0,1,1,inf
chrUn_CP007102v1,0,1,1,inf
chrX_CP007103v1_random,0,12,12,inf
chrX_CP007104v1_random,5,0,5,0.000
chrUn_CP007105v1,3,2,5,0.667
chrY_CP007107v1_random,5,10,15,2.000
chrY_CP007108v1_random,6,1,7,0.167
chrY_CP007109v1_random,4,6,10,1.500
chrY_CP007110v1_random,2,1,3,0.500
chrY_CP007111v1_random,4,6,10,1.500
chrY_CP007112v1_random,4,2,6,0.500
chrY_CP007113v1_random,0,8,8,inf
chrY_CP007114v1_random,3,1,4,0.333
chrY_CP007115v1_random,0,3,3,inf
chrY_CP007116v1_random,0,2,2,inf
chrY_CP007117v1_random,2,1,3,0.500
chrY_CP007118v1_random,4,4,8,1.000
chrY_CP007119v1_random,1,0,1,0.000
chrUn_CP007120v1,13,5,18,0.385
chrUn_DS483562v1,3,4,7,1.333
chrUn_DS483646v1,1,3,4,3.000
chrUn_DS483647v1,0,2,2,inf
chrX_DS483648v1_random,0,1,1,inf
chrUn_DS483649v1,1,1,2,1.000
chrX_DS483655v1_random,1,1,2,1.000
chrUn_DS483658v1,1,1,2,1.000
chrX_DS483660v1_random,1,3,4,3.000
chrUn_DS483662v1,1,2,3,2.000
chrUn_DS483663v1,1,0,1,0.000
chrX_DS483665v1_random,0,2,2,inf
chrX_DS483669v1_random,0,1,1,inf
chrUn_DS483673v1,1,0,1,0.000
chrUn_DS483675v1,0,1,1,inf
chrY_DS483677v1_random,0,1,1,inf
chrUn_DS483678v1,4,2,6,0.500
chrUn_DS483679v1,2,0,2,0.000
chrUn_DS483681v1,1,0,1,0.000
chrX_DS483685v1_random,1,0,1,0.000
chrUn_DS483686v1,1,0,1,0.000
chrUn_DS483687v1,0,1,1,inf
chrUn_DS483688v1,1,0,1,0.000
chrY_DS483690v1_random,3,1,4,0.333
chrUn_DS483692v1,0,1,1,inf
chrUn_DS483693v1,1,0,1,0.000
chrUn_DS483695v1,0,3,3,inf
chrUn_DS483702v1,0,1,1,inf
chrUn_DS483703v1,1,0,1,0.000
chrUn_DS483705v1,2,1,3,0.500
chrUn_DS483707v1,1,0,1,0.000
chrUn_DS483709v1,1,0,1,0.000
chrUn_DS483712v1,2,0,2,0.000
chrUn_DS483728v1,0,2,2,inf
chrUn_DS483735v1,0,1,1,inf
chrUn_DS483737v1,1,0,1,0.000
chrUn_DS483738v1,0,1,1,inf
chrUn_DS483741v1,1,1,2,1.000
chrY_DS483742v1_random,0,2,2,inf
chrUn_DS483744v1,1,1,2,1.000
chrX_DS483745v1_random,5,0,5,0.000
chrUn_DS483748v1,1,0,1,0.000
chrUn_DS483753v1,3,0,3,0.000
chrUn_DS483757v1,1,1,2,1.000
chrUn_DS483758v1,1,1,2,1.000
chrUn_DS483759v1,0,1,1,inf
chrUn_DS483762v1,0,2,2,inf
chrUn_DS483767v1,0,1,1,inf
chrUn_DS483768v1,0,1,1,inf
chrUn_DS483769v1,1,1,2,1.000
chrUn_DS483770v1,1,0,1,0.000
chrUn_DS483772v1,2,1,3,0.500
chrUn_DS483780v1,1,3,4,3.000
chrUn_DS483781v1,2,0,2,0.000
chrUn_DS483782v1,1,1,2,1.000
chrX_DS483784v1_random,3,0,3,0.000
chrX_DS483789v1_random,0,3,3,inf
chrY_DS483790v1_random,0,1,1,inf
chrUn_DS483792v1,0,1,1,inf
chrUn_DS483793v1,1,0,1,0.000
chrX_DS483795v1_random,4,1,5,0.250
chrUn_DS483797v1,1,1,2,1.000
chrUn_DS483798v1,1,0,1,0.000
chrUn_DS483799v1,1,0,1,0.000
chrUn_DS483800v1,1,1,2,1.000
chrUn_DS483805v1,1,2,3,2.000
chrUn_DS483806v1,2,0,2,0.000
chrUn_DS483807v1,2,2,4,1.000
chrX_DS483809v1_random,2,0,2,0.000
chrUn_DS483811v1,0,2,2,inf
chrUn_DS483815v1,0,1,1,inf
chrX_DS483821v1_random,1,1,2,1.000
chrUn_DS483822v1,1,0,1,0.000
chrUn_DS483825v1,1,0,1,0.000
chrUn_DS483828v1,0,1,1,inf
chrUn_DS483837v1,1,0,1,0.000
chrUn_DS483839v1,0,1,1,inf
chrX_DS483843v1_random,2,0,2,0.000
chrX_DS483851v1_random,0,2,2,inf
chrUn_DS483856v1,2,1,3,0.500
chrUn_DS483858v1,2,1,3,0.500
chrUn_DS483865v1,2,0,2,0.000
chrUn_DS483867v1,0,2,2,inf
chrUn_DS483874v1,1,1,2,1.000
chrUn_DS483877v1,3,0,3,0.000
chrUn_DS483878v1,1,0,1,0.000
chrX_DS483885v1_random,0,2,2,inf
chrX_DS483888v1_random,1,0,1,0.000
chrY_DS483889v1_random,1,1,2,1.000
chrX_DS483892v1_random,0,2,2,inf
chrX_DS483893v1_random,0,1,1,inf
chrUn_DS483896v1,1,0,1,0.000
chrX_DS483897v1_random,0,1,1,inf
chrUn_DS483898v1,3,0,3,0.000
chrUn_DS483899v1,0,1,1,inf
chrUn_DS483900v1,0,2,2,inf
chrUn_DS483901v1,1,0,1,0.000
chrX_DS483905v1_random,0,2,2,inf
chrUn_DS483906v1,1,0,1,0.000
chrUn_DS483913v1,0,3,3,inf
chrUn_DS483915v1,0,2,2,inf
chrX_DS483923v1_random,2,0,2,0.000
chrX_DS483926v1_random,2,0,2,0.000
chrUn_DS483929v1,1,1,2,1.000
chrUn_DS483930v1,0,1,1,inf
chrY_DS483931v1_random,0,1,1,inf
chrUn_DS483936v1,1,0,1,0.000
chrUn_DS483937v1,0,2,2,inf
chrUn_DS483938v1,1,0,1,0.000
chrUn_DS483941v1,1,1,2,1.000
chrUn_DS483945v1,1,0,1,0.000
chrX_DS483946v1_random,3,0,3,0.000
chrY_DS483959v1_random,0,1,1,inf
chrUn_DS483961v1,1,0,1,0.000
