Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,1810,1800,3610,0.994
HiC_scaffold_2,2569,2584,5153,1.006
HiC_scaffold_3,2460,2445,4905,0.994
HiC_scaffold_4,6158,6323,12481,1.027
HiC_scaffold_5,3307,3275,6582,0.990
HiC_scaffold_6,3011,2967,5978,0.985
HiC_scaffold_7,3168,3295,6463,1.040
HiC_scaffold_8,2484,2427,4911,0.977
HiC_scaffold_9,3288,3164,6452,0.962
HiC_scaffold_10,3111,3075,6186,0.988
HiC_scaffold_11,2473,2539,5012,1.027
HiC_scaffold_12,3050,3050,6100,1.000
HiC_scaffold_13,3289,3249,6538,0.988
HiC_scaffold_14,3046,3153,6199,1.035
HiC_scaffold_15,3279,3091,6370,0.943
HiC_scaffold_16,3005,3118,6123,1.038
HiC_scaffold_17,3158,3109,6267,0.984
HiC_scaffold_18,3445,3348,6793,0.972
HiC_scaffold_19,3014,3080,6094,1.022
HiC_scaffold_20,3428,3523,6951,1.028
HiC_scaffold_21,3346,3290,6636,0.983
HiC_scaffold_22,2488,2523,5011,1.014
HiC_scaffold_23,3227,3348,6575,1.037
HiC_scaffold_24,2536,2541,5077,1.002
HiC_scaffold_25,3460,3411,6871,0.986
HiC_scaffold_26,4612,4519,9131,0.980
HiC_scaffold_27,3271,3244,6515,0.992
HiC_scaffold_28,3018,2967,5985,0.983
HiC_scaffold_29,3664,3670,7334,1.002
HiC_scaffold_30,3602,3541,7143,0.983
HiC_scaffold_31,4151,4106,8257,0.989
HiC_scaffold_32,3227,3253,6480,1.008
HiC_scaffold_33,3250,3456,6706,1.063
HiC_scaffold_34,5744,5823,11567,1.014
HiC_scaffold_35,4052,4036,8088,0.996
HiC_scaffold_36,2317,2354,4671,1.016
HiC_scaffold_37,410,386,796,0.941
HiC_scaffold_38,1796,1869,3665,1.041
HiC_scaffold_39,393,364,757,0.926
HiC_scaffold_40,620,626,1246,1.010
HiC_scaffold_41,3207,3233,6440,1.008
HiC_scaffold_42,3025,3055,6080,1.010
HiC_scaffold_43,3100,3186,6286,1.028
HiC_scaffold_44,2243,2360,4603,1.052
HiC_scaffold_45,2623,2527,5150,0.963
HiC_scaffold_46,3451,3514,6965,1.018
HiC_scaffold_47,5182,5104,10286,0.985
HiC_scaffold_48,2882,2972,5854,1.031
HiC_scaffold_49,2549,2611,5160,1.024
HiC_scaffold_50,2813,2757,5570,0.980
HiC_scaffold_51,2706,2726,5432,1.007
HiC_scaffold_52,2699,2614,5313,0.969
HiC_scaffold_53,2964,2897,5861,0.977
HiC_scaffold_54,2875,2858,5733,0.994
HiC_scaffold_55,2736,2821,5557,1.031
HiC_scaffold_56,377,395,772,1.048
HiC_scaffold_57,2603,2680,5283,1.030
HiC_scaffold_58,2452,2441,4893,0.996
HiC_scaffold_59,3164,3107,6271,0.982
HiC_scaffold_60,3073,2993,6066,0.974
HiC_scaffold_61,1533,1557,3090,1.016
HiC_scaffold_62,2251,2279,4530,1.012
HiC_scaffold_63,1603,1624,3227,1.013
HiC_scaffold_64,1917,1931,3848,1.007
HiC_scaffold_65,1556,1432,2988,0.920
HiC_scaffold_66,1100,1096,2196,0.996
HiC_scaffold_67,1316,1351,2667,1.027
HiC_scaffold_68,1374,1331,2705,0.969
HiC_scaffold_69,1729,1581,3310,0.914
HiC_scaffold_70,345,310,655,0.899
HiC_scaffold_71,756,784,1540,1.037
HiC_scaffold_72,322,352,674,1.093
HiC_scaffold_73,357,327,684,0.916
HiC_scaffold_74,882,864,1746,0.980
HiC_scaffold_75,366,414,780,1.131
HiC_scaffold_76,946,972,1918,1.027
HiC_scaffold_77,987,942,1929,0.954
HiC_scaffold_78,636,648,1284,1.019
HiC_scaffold_79,397,458,855,1.154
HiC_scaffold_80,237,195,432,0.823
HiC_scaffold_81,89,122,211,1.371
HiC_scaffold_82,105,131,236,1.248
HiC_scaffold_83,958,938,1896,0.979
HiC_scaffold_84,217,222,439,1.023
TOTAL,200440,200654,401094,1.001
