Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,45,58,103,1.289
HiC_scaffold_2,100,78,178,0.780
HiC_scaffold_3,71,44,115,0.620
HiC_scaffold_4,74,68,142,0.919
HiC_scaffold_5,34,46,80,1.353
HiC_scaffold_6,36,51,87,1.417
HiC_scaffold_7,59,47,106,0.797
HiC_scaffold_8,41,52,93,1.268
HiC_scaffold_9,24,24,48,1.000
HiC_scaffold_10,9,10,19,1.111
HiC_scaffold_11,43,46,89,1.070
HiC_scaffold_12,59,64,123,1.085
HiC_scaffold_13,62,55,117,0.887
HiC_scaffold_14,95,78,173,0.821
HiC_scaffold_15,90,68,158,0.756
HiC_scaffold_16,35,41,76,1.171
HiC_scaffold_17,97,117,214,1.206
TOTAL,974,947,1921,0.972
