Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,127,120,247,0.945
HiC_scaffold_2,95,96,191,1.011
HiC_scaffold_3,94,99,193,1.053
HiC_scaffold_4,86,81,167,0.942
HiC_scaffold_5,90,85,175,0.944
HiC_scaffold_6,74,69,143,0.932
HiC_scaffold_7,67,80,147,1.194
HiC_scaffold_8,95,87,182,0.916
HiC_scaffold_9,82,81,163,0.988
HiC_scaffold_10,102,65,167,0.637
HiC_scaffold_11,87,81,168,0.931
HiC_scaffold_12,77,76,153,0.987
HiC_scaffold_13,71,65,136,0.915
HiC_scaffold_14,48,50,98,1.042
HiC_scaffold_15,56,53,109,0.946
HiC_scaffold_16,65,59,124,0.908
HiC_scaffold_17,47,42,89,0.894
HiC_scaffold_18,52,47,99,0.904
HiC_scaffold_19,45,63,108,1.400
HiC_scaffold_20,50,48,98,0.960
HiC_scaffold_21,54,52,106,0.963
HiC_scaffold_22,38,54,92,1.421
HiC_scaffold_23,47,46,93,0.979
HiC_scaffold_24,51,49,100,0.961
HiC_scaffold_25,43,46,89,1.070
HiC_scaffold_26,67,51,118,0.761
HiC_scaffold_27,58,44,102,0.759
HiC_scaffold_28,43,34,77,0.791
HiC_scaffold_29,40,41,81,1.025
HiC_scaffold_30,34,41,75,1.206
HiC_scaffold_31,41,51,92,1.244
HiC_scaffold_32,21,28,49,1.333
HiC_scaffold_33,42,60,102,1.429
HiC_scaffold_34,43,40,83,0.930
HiC_scaffold_35,39,23,62,0.590
HiC_scaffold_36,33,25,58,0.758
HiC_scaffold_37,23,29,52,1.261
HiC_scaffold_38,32,30,62,0.938
HiC_scaffold_39,33,29,62,0.879
HiC_scaffold_40,27,15,42,0.556
HiC_scaffold_41,21,17,38,0.810
HiC_scaffold_42,28,33,61,1.179
HiC_scaffold_43,19,16,35,0.842
HiC_scaffold_44,21,12,33,0.571
HiC_scaffold_45,11,8,19,0.727
HiC_scaffold_46,14,8,22,0.571
HiC_scaffold_47,17,7,24,0.412
HiC_scaffold_48,16,17,33,1.062
HiC_scaffold_49,0,6,6,inf
HiC_scaffold_50,6,1,7,0.167
HiC_scaffold_51,6,5,11,0.833
HiC_scaffold_52,5,0,5,0.000
TOTAL,2483,2365,4848,0.952
