species,human_gene,reciprocal_hit_gene,fasta_filename
Latrodectus_hesperus,CTCF,CTCF,top_hit_CTCF_Latrodectus_hesperus.fa
Latrodectus_hesperus,ESCO1,ESCO1,top_hit_ESCO1_Latrodectus_hesperus.fa
Latrodectus_hesperus,ESCO2,ESCO2,top_hit_ESCO2_Latrodectus_hesperus.fa
Latrodectus_hesperus,HDAC8,HDAC8,top_hit_HDAC8_Latrodectus_hesperus.fa
Latrodectus_hesperus,NIPBL,NIPBL,top_hit_NIPBL_Latrodectus_hesperus.fa
Latrodectus_hesperus,PDS5A,PDS5B,top_hit_PDS5A_Latrodectus_hesperus.fa
Latrodectus_hesperus,PDS5B,PDS5B,top_hit_PDS5B_Latrodectus_hesperus.fa
Latrodectus_hesperus,RAD21,RAD21,top_hit_RAD21_Latrodectus_hesperus.fa
Latrodectus_hesperus,SMC1,SMC1A,top_hit_SMC1_Latrodectus_hesperus.fa
Latrodectus_hesperus,SMC3,SMC3,top_hit_SMC3_Latrodectus_hesperus.fa
Latrodectus_hesperus,STAG1,STAG1,top_hit_STAG1_Latrodectus_hesperus.fa
Latrodectus_hesperus,STAG2,STAG1,top_hit_STAG2_Latrodectus_hesperus.fa
Latrodectus_hesperus,WAPL,WAPL,top_hit_WAPL_Latrodectus_hesperus.fa
