species,human_gene,reciprocal_hit_gene,fasta_filename
Caenorhabditis_elegans,CTCF,ZNF658,top_hit_CTCF_Caenorhabditis_elegans.fa
Caenorhabditis_elegans,ESCO1,ESCO2,top_hit_ESCO1_Caenorhabditis_elegans.fa
Caenorhabditis_elegans,ESCO2,ESCO2,top_hit_ESCO2_Caenorhabditis_elegans.fa
Caenorhabditis_elegans,HDAC8,HDAC1,top_hit_HDAC8_Caenorhabditis_elegans.fa
Caenorhabditis_elegans,NIPBL,NIPBL,top_hit_NIPBL_Caenorhabditis_elegans.fa
Caenorhabditis_elegans,PDS5A,PDS5B,top_hit_PDS5A_Caenorhabditis_elegans.fa
Caenorhabditis_elegans,PDS5B,PDS5B,top_hit_PDS5B_Caenorhabditis_elegans.fa
Caenorhabditis_elegans,RAD21,RAD21L1,top_hit_RAD21_Caenorhabditis_elegans.fa
Caenorhabditis_elegans,SMC1,SMC1A,top_hit_SMC1_Caenorhabditis_elegans.fa
Caenorhabditis_elegans,SMC3,SMC3,top_hit_SMC3_Caenorhabditis_elegans.fa
Caenorhabditis_elegans,STAG1,STAG2,top_hit_STAG1_Caenorhabditis_elegans.fa
Caenorhabditis_elegans,STAG2,STAG2,top_hit_STAG2_Caenorhabditis_elegans.fa
Caenorhabditis_elegans,WAPL,WAPL,top_hit_WAPL_Caenorhabditis_elegans.fa
